#OTUId	16-TM29-FDA	13-TM42-FDA	23-T26-FDA	16-T26-FDA	20-TM30-FDA	18-TM36-FDA	23-T80-FDA	15-T52-FDA	26-S0-FDA	08-TM36-FDA	29-T13-FDA	18-T52-FDA	16-TM54-FDA	CONTROL5	19-S0-FDA	14-T52-FDA	19-T13-FDA	03-TM60-FDA	CONTROL3	27-T26-FDA	16-T106-FDA	23-TM42-FDA	35-T52-FDA	30-T80-FDA	27-T52-FDA	28-T52-FDA	20-T106-FDA	16-T80-FDA	22-T26-FDA	02-TM54-FDA	14-TM60-FDA	13-TM60-FDA	28-T26-FDA	26-T80-FDA	06-TM30-FDA	14-TM48-FDA	26-T13-FDA	13-TM30-FDA	15-T26-FDA	18-S0-FDA	13-TM48-FDA	33-T0-FDA	30-T26-FDA	27-T13-FDA	31-T0-FDA	28-T0-FDA	33-T13-FDA	33-T26-FDA	26-T26-FDA	07-T106-FDA	31-T80-FDA	14-TM42-FDA	22-S0-FDA	34-S0-FDA	13-T52-FDA	19-T80-FDA	08-TM48-FDA	03-TM48-FDA	31-T52-FDA	30-T13-FDA	16-T52-FDA	06-TM42-FDA	16-TM48-FDA	21-S0-FDA	07-TM54-FDA	05-TM36-FDA	14-T80-FDA	35-T13-FDA	28-T6-FDA	13-TM54-FDA	19-T26-FDA	02-TM60-FDA	12-T80-FDA	01-TM48-FDA	31-T8-FDA	16-S0-FDA	10-T106-FDA	26-T106-FDA	20-T52-FDA	30-T0-FDA	35-T80-FDA	06-TM36-FDA	10-TM36-FDA	15-T13-FDA	14-TM30-FDA	13-TM36-FDA	22-TM30-FDA	30-T52-FDA	22-TM36-FDA	22-T13-FDA	28-T106-FDA	16-TM42-FDA	14-TM54-FDA	JR-F-DA	31-T26-FDA	20-T6-FDA	14-TM36-FDA	28-S0-FDA	02-TM46-FDA	22-T52-FDA	01-TM60-FDA	19-T6-FDA	03-TM54-FDA	16-T6-FDA	23-T52-FDA	27-T39-FDA	35-T26-FDA	20-T26-FDA	11-T80-FDA	NP-F-DA	20-S0-FDA	14-T26-FDA	27-T80-FDA	07-TM60-FDA	CONTROL4	29-T0-FDA	16-T13-FDA	25-T26-FDA	13-T106-FDA	16-TM36-FDA	19-T106-FDA	18-T13-FDA	14-T106-FDA	27-T0-FDA	19-T52-FDA	26-TM30-FDA	22-T106-FDA	06-T106-FDA	20-T80-FDA	21-T6-FDA	20-T13-FDA	21-T13-FDA	22-T6-FDA	29-T26-FDA	05-TM48-FDA	CONTROL2	CONTROL1	CONTROL6	18-T26-FDA	08-TM42-FDA	08-T106-FDA	taxonomy
OTU_2	1689	14	12	56	66	15	361	185	1003	5045	2	20	25	3	521	3	11	172	194	17	44	66	265	693	753	93	310	41	171	5	89	106	1247	3	283	2238	76	44	132	1507	31	7	2	70	2	2556	28	58	33	465	64	116	2351	1	35	67	185	94	8	7	75	375	5	483	2	45	9	9	6802	76	241	248	692	15	10	49	653	13	60	1356	25	409	1189	402	2	123	60	933	315	1031	28	5	283	1	546	1034	137	3963	39	8	7	168	160	22	119	240	380	975	73	2	655	13	1072	257	4	15	42	6443	12	26	75	1296	15	1456	33	132	28	3618	1449	1768	461	7187	814	36	1	1	2	0	5591	216	5007	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Escherichia/Shigella;
OTU_2209	535	0	0	0	3	1	51	12	1	548	0	0	1	0	23	1	0	0	0	1	0	11	20	50	0	0	23	1	0	0	0	5	0	0	23	0	2	9	1	60	0	0	0	3	0	2	4	7	0	41	0	0	0	0	0	7	11	1	1	0	1	48	1	2	0	7	0	0	2	0	3	0	12	3	0	1	31	0	1	0	0	8	61	8	0	23	1	1	27	14	0	0	0	0	0	300	0	0	0	0	1	10	10	1	13	6	0	287	0	0	34	0	0	4	0	0	0	332	1	0	0	0	0	2	3	16	1	646	43	147	213	592	89	0	0	0	0	0	0	17	254	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Escherichia/Shigella;
OTU_120	2987	0	0	0	0	0	2	24	1	0	0	1	0	0	132	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	1	0	0	0	0	0	0	0	30	0	0	1	1	0	4	0	0	0	1	1	0	0	0	1	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	1	0	0	0	1	26	0	0	0	0	0	21	1	1	0	0	674	0	1	0	18	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	1	0	0	0	1491	0	0	0	0	0	0	2	5	0	8	224	0	0	0	0	0	0	0	0	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Proteus;
OTU_36	1051	0	4	0	0	964	1	47	4	0	0	1	22	0	372	31	2	1	0	0	23	2	0	5435	4	0	3	1	17	338	3	1	8	13	128	13	4	2	0	828	4	88	202	16	3	3	1	0	15	363	1	1	1448	33	1	1	0	18	31	24	0	80	5	161	0	2	1	0	905	8	3	3	9	1	28	181	1159	20	0	825	3	57	269	10	1	1	0	862	0	196	1	44	3	6	39	2	4	2	120	0	0	8	2	218	4	1	0	6	0	0	3	322	0	0	0	0	3	43	0	3	0	718	21	1	5	11	1	197	2	2521	1	13	388	10	1	15	14	8	9	1	3	Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Veillonella;
OTU_3339	89	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	1	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Proteus;
OTU_68	342	2	11	0	11	3160	2	146	13	2	8	2	74	13	52	24	2	1	13	3	24	5	1	4	0	1	2	3	2	9	2	2	7	354	297	5	1	1	2	159	0	3	13	7	72	2	0	9	24	41	8	7	0	122	8	38	0	11	8	18	0	68	1	1040	0	7	0	0	4	7	32	0	2	0	22	84	4	532	3	0	2	331	0	19	2	2	2	9	0	30	1	22	6	0	30	3	6	4	2	11	1	1	1	213	1	1	0	12	15	7	3	14	2	0	8	0	3	0	2	44	4	48	20	46	15	8	2	233	6	13	24	83	86	0	0	39	0	22	5	0	2	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;
OTU_2303	72	0	0	6	10	0	28	10	93	427	0	1	4	0	33	1	0	19	20	1	4	2	20	70	67	8	19	2	14	1	6	7	110	1	24	219	3	4	9	137	1	0	0	1	0	232	0	4	4	42	4	13	240	0	7	4	6	5	0	0	9	28	1	44	0	5	0	1	747	5	19	30	70	0	0	1	57	0	2	139	2	21	110	30	0	8	5	82	26	78	4	0	31	0	50	67	11	373	11	0	0	17	16	0	13	22	32	25	9	1	46	0	87	18	0	0	1	495	1	3	2	114	2	135	2	16	0	283	137	183	20	753	49	2	0	0	0	0	654	11	435	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Escherichia/Shigella;
OTU_221	570	1	0	0	0	0	30	0	0	4	0	0	0	0	437	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	54	1	0	0	86	0	0	0	4	0	0	0	0	0	38	0	0	0	88	0	7	0	0	0	0	8	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	5	0	0	10	0	0	0	2	67	0	0	0	1	0	0	11	0	0	0	0	0	0	0	0	6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	44	2	0	0	0	0	0	2	27	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Morganella;
OTU_3540	30	0	0	2	2	1	12	6	31	144	0	0	2	0	20	0	0	6	7	1	3	4	5	33	34	4	15	0	4	0	4	3	60	0	11	82	2	5	4	64	1	1	0	3	0	95	0	4	4	15	2	4	87	0	0	3	3	4	0	0	2	17	1	24	0	1	0	1	284	0	4	11	29	0	0	3	20	0	2	47	0	13	56	14	0	6	1	37	8	38	0	0	11	1	25	15	3	119	0	0	0	2	2	0	5	13	17	19	1	0	7	0	47	11	0	1	2	198	1	0	1	43	0	49	3	1	2	137	52	57	2	304	13	1	0	0	0	0	207	8	171	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Escherichia/Shigella;
OTU_2345	62	0	1	2	0	1	0	0	0	0	0	0	0	0	39	1	0	0	0	0	0	0	0	516	0	0	0	0	0	6	0	0	1	0	3	0	0	0	0	5	0	2	27	3	0	0	0	0	0	33	0	0	0	0	0	0	0	1	1	1	0	0	0	88	0	0	0	0	103	0	0	0	0	0	0	2	281	1	0	180	0	3	62	0	0	0	0	58	0	6	0	0	0	1	1	0	0	0	3	0	0	4	0	2	0	0	0	0	1	0	0	17	0	0	0	0	0	1	0	0	0	17	0	0	1	1	0	6	0	70	0	0	18	0	0	2	0	0	0	0	0	Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Veillonella;
OTU_158	133	3	19	0	0	258	7	17	9	0	2	0	7	1	27	9	28	1	3	1	16	2	0	0	2	0	0	1	3	286	3	2	16	8	47	2	7	0	1	0	0	0	1	1	3	1	0	0	8	1442	0	0	20	42	0	10	0	1	7	23	2	69	5	18	1	2	1	2	1	19	1	1	11	0	24	14	11	17	1	0	4	60	2	23	2	0	1	3	0	2	0	6	10	1	39	3	1	2	19	1	0	8	0	63	0	0	0	4	6	1	5	10	1	2	0	1	0	0	0	10	4	112	6	26	3	4	0	41	2	5	10	66	8	2	0	4	1	3	2	0	5	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;
OTU_3736	71	0	0	0	0	3	0	0	3	0	0	0	1	0	37	1	0	0	0	0	0	0	0	509	0	0	0	0	0	10	0	0	0	0	3	1	1	0	0	17	0	0	33	1	0	0	0	0	3	19	0	1	0	0	0	0	0	2	0	6	0	2	0	97	0	0	0	0	89	0	0	0	3	0	4	9	193	2	0	159	0	3	43	1	0	0	0	99	0	33	0	0	0	0	0	0	0	0	4	0	0	4	0	9	0	0	0	0	0	0	0	13	0	0	0	0	1	1	0	0	0	24	0	0	0	1	0	5	0	173	0	0	40	0	0	2	1	0	0	0	1	Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Veillonella;
OTU_1405	254	2	6	1	0	589	1	1	4	0	0	0	14	0	29	10	8	0	3	0	30	0	0	0	0	0	0	1	2	207	0	0	8	5	98	0	1	1	0	0	0	0	3	5	0	5	0	0	0	301	3	1	0	30	0	1	0	7	3	4	0	96	3	34	0	3	0	0	5	17	2	0	2	0	2	35	3	10	0	0	1	129	0	4	0	0	0	0	0	3	0	14	0	1	7	15	0	3	19	0	0	2	0	240	0	1	0	8	6	0	3	9	1	1	0	0	0	0	0	17	4	2	2	24	3	0	0	57	0	2	22	44	48	1	2	4	0	1	0	0	0	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;
OTU_72	435	2	0	0	0	242	4	51	17	1	0	1	0	0	8	9	2	0	50	0	8	4	18	0	154	1	0	0	0	641	15	1	0	21	947	71	52	1	4	8	0	0	1	10	0	0	0	0	67	1857	3	4	2	211	1	3	0	0	11	2	0	1597	1	50	1	4	5	20	1	0	0	48	85	0	192	4	49	4	0	0	113	750	0	0	28	6	1	2	0	0	0	24	10	23	77	0	12	0	393	0	0	0	0	0	0	1	0	39	0	2	1	18	20	3	43	1	0	0	1	36	0	71	44	2	0	25	0	120	0	0	3	41	0	23	3	6	14	7	3	0	0	Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus;
OTU_248	289	1	0	0	17	0	2	1	11	2	0	0	0	2	11	0	0	6	2	0	0	0	0	9	2	0	54	1	11	0	6	0	792	0	0	0	0	0	15	13	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	1194	0	0	0	0	0	0	0	0	0	0	0	26	8	0	0	24	0	0	17	1	27	0	1	23	0	0	0	0	0	0	4	0	0	0	130	1	0	0	0	0	0	1	7	29	0	0	0	0	10	1	0	0	0	0	0	0	0	67	66	0	2	1	0	49	0	0	0	9	1	0	0	5	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;;
OTU_1056	58	0	0	0	1	6	0	0	0	0	0	0	0	0	26	1	0	0	0	0	0	0	0	546	1	0	0	0	0	23	0	0	1	2	1	0	0	0	0	50	0	3	46	1	0	0	0	0	1	41	0	0	1	0	0	0	0	0	3	6	0	4	0	64	0	0	0	0	58	0	1	0	0	0	0	5	148	0	0	203	0	2	22	0	0	0	0	132	0	22	0	0	0	0	0	0	0	0	4	0	0	4	1	14	0	0	0	0	0	0	1	13	0	0	0	0	0	1	0	0	0	21	0	0	0	1	0	7	0	263	0	0	59	2	0	3	0	0	0	0	0	Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Veillonella;
OTU_1046	48	0	2	0	0	114	0	0	2	0	0	0	2	0	3	0	0	0	0	0	7	0	0	0	0	0	0	1	0	21	0	0	3	0	13	0	0	0	0	0	0	0	0	6	0	0	0	0	0	41	0	0	0	3	0	0	0	3	0	0	0	17	1	14	0	1	0	0	0	2	0	0	0	0	0	5	2	3	0	0	0	18	0	0	0	1	0	0	0	1	1	0	0	0	2	4	0	0	1	0	0	0	0	34	0	0	0	0	1	0	3	2	1	0	0	0	0	0	0	2	3	1	2	5	1	0	0	10	1	0	4	4	6	1	0	0	0	0	0	0	0	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;
OTU_3098	105	0	1	0	0	10	1	0	2	0	1	0	2	0	27	1	0	0	0	2	1	0	0	1264	2	1	1	0	0	45	0	0	0	2	12	0	4	0	0	118	0	3	96	1	0	0	0	0	4	70	0	0	0	1	0	0	0	0	3	7	0	13	0	93	0	0	0	0	58	5	0	2	1	0	6	18	117	1	0	501	0	7	20	0	0	0	0	289	0	29	0	1	0	0	5	0	0	0	9	0	0	2	0	11	0	0	0	0	0	0	0	28	1	0	0	0	0	1	0	0	0	16	0	0	1	1	0	32	1	761	0	0	52	1	0	1	1	1	0	0	0	Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Veillonella;
OTU_154	287	0	1	3	2	13	0	20	3	1	1	456	3	1	36	1	0	0	1	1	0	1	11	0	19	0	17	0	10	43	2	1	0	3	9	0	1	1	1	148	3	42	2	1	0	0	4	0	2	217	7	10	3198	35	0	0	0	2	3	6	4	3	0	0	12	0	0	0	0	0	0	2	6	0	10	0	0	1	0	0	0	3	14	0	0	0	0	2	1	48	3	0	1	0	0	0	31	0	1	2	0	1	0	0	0	12	0	0	0	0	2	177	0	0	0	0	0	11	3	3	0	46	3	0	2	0	0	14	0	2	0	16	568	8	0	0	0	0	1	0	2	Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;
OTU_3810	32	0	0	0	1	352	0	13	0	0	0	0	11	2	3	2	0	0	2	0	2	1	0	0	0	0	0	0	0	1	0	0	1	38	20	0	0	0	0	6	0	2	0	1	6	0	1	2	1	9	1	3	0	7	0	4	0	0	0	2	0	3	0	94	1	3	0	0	1	0	0	0	0	0	1	9	0	42	0	0	0	41	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	1	0	0	0	0	0	17	0	0	0	3	1	1	0	1	0	0	0	0	0	0	0	2	2	3	0	2	1	1	2	27	0	1	5	7	4	1	0	2	0	0	0	0	0	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;
OTU_192	117	0	0	0	0	29	3	2	1	0	0	0	4	0	5	0	2	0	0	0	5	0	0	0	3	0	1	0	0	6	0	0	5	0	4	0	0	0	0	0	0	0	3	2	0	2	0	0	8	600	1	0	3	4	0	1	0	1	2	23	0	7	3	1	0	0	1	1	2	2	2	0	1	0	5	1	4	3	0	0	0	2	0	2	0	0	0	0	0	0	0	2	0	0	6	0	0	1	5	1	0	1	0	1	0	0	8	0	0	0	1	0	0	0	0	0	0	0	0	10	0	16	0	3	0	2	0	4	2	6	2	70	3	0	1	0	1	1	3	0	2	Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Granulicatella;
OTU_109	30	3	0	2	0	0	2	0	836	0	0	0	0	0	0	3	0	0	4	0	0	0	17	0	33	0	0	0	0	28	16	0	0	2	0	69	0	2	0	0	3	3	1	0	0	0	0	0	26	0	8	170	0	2285	17	0	0	0	1	0	0	2	0	2	0	0	6	0	97	0	0	0	2	0	0	58	0	0	5	0	20	27	0	0	9	3	0	0	0	1	0	0	8	0	0	0	112	0	0	0	0	0	0	1	0	1	0	22	24	0	0	13	8	0	1	0	0	0	0	0	0	0	53	0	0	0	0	3	0	14	4	0	0	103	0	2	28	5	0	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae 1;Clostridium sensu stricto;
OTU_113	13	3	1	0	0	0	4	22	10	0	0	0	1	15	8	1	5	0	13	4	0	9	25	0	2	0	0	0	0	3	14	0	0	44	21	73	77	0	55	0	5	0	0	0	0	0	0	0	94	104	17	9	0	14	30	0	0	0	9	0	0	194	0	232	0	13	3	0	0	1	0	9	52	2	22	35	0	0	0	0	28	90	0	6	10	4	0	0	6	0	0	0	46	2	5	0	117	0	8	0	3	1	0	0	2	3	143	0	47	2	0	73	192	1	1	51	0	0	2	0	0	1	13	0	0	0	0	552	0	0	0	0	0	15	0	8	8	3	0	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;Clostridium XI;
OTU_1	14	1778	314	5	633	27	1938	9	66	11055	3523	56	5809	663	6	551	1310	3127	2890	8	1380	57	3182	7170	3803	2256	1476	482	5069	2399	1622	5743	29	1587	1006	644	44	3888	6110	14	2770	2417	11	5	8	3354	1765	1260	7	677	4037	366	9	59	71	254	669	2891	1686	11	1223	1530	2714	4	1243	2690	805	6044	64	7515	222	4718	4588	5547	1439	1301	13	996	1367	1130	16151	2571	14945	33	1068	3919	2056	2736	3631	9688	3033	1529	1024	66	699	496	1626	7802	2581	6166	9023	164	3695	7	2579	5137	6619	757	2855	1260	960	24423	3240	1281	412	2545	3	2	1262	3	1142	17	1611	2155	504	3974	791	3239	1684	11	2268	2	12	2641	5354	1083	1371	340	4	447	51	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;
OTU_4178	17	0	2	0	0	72	0	3	0	0	0	0	5	0	1	2	1	0	0	0	3	0	0	1	0	0	0	0	1	0	0	0	0	7	6	0	0	0	0	18	0	0	0	0	7	1	0	1	4	2	1	0	0	8	0	4	0	0	1	0	0	1	0	51	0	0	1	0	0	0	1	0	0	0	0	1	0	52	0	0	0	10	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	1	0	0	0	0	4	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	4	0	1	0	1	0	0	0	5	0	0	2	5	3	0	0	4	0	0	0	0	0	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;
OTU_1240	33	0	1	1	0	60	1	1	0	0	0	0	3	0	6	1	2	0	0	0	4	0	0	0	1	1	0	0	1	90	0	1	1	0	6	0	1	0	0	0	0	0	0	1	0	0	0	0	1	81	0	0	0	6	0	0	0	2	1	2	0	13	1	7	0	0	0	0	0	2	0	0	0	0	0	4	1	0	0	0	0	16	0	1	0	0	0	0	0	2	0	1	0	0	1	3	0	0	3	0	0	0	0	29	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	3	1	0	0	1	0	0	0	3	0	0	2	8	3	0	0	1	0	0	0	0	1	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;
OTU_3861	16	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	1	58	0	0	0	0	0	0	0	0	Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;
OTU_34	7	175	6	2	310	5	171	0	1	5	264	55	387	52	2	126	2	177	110	3	1	129	197	1	0	614	549	2	82	449	193	567	1	1	4	154	2	127	356	4	108	530	1	3	287	43	950	547	1	20	160	54	1	0	642	117	0	137	146	1	4	52	277	2046	138	141	396	1127	7	917	0	126	594	2	1	1	0	2	446	0	214	1	1	2	207	100	65	0	167	0	220	342	177	3	1	327	408	154	257	654	4	3	166	1	5	0	497	237	179	403	113	4800	22	318	23	30	0	0	44	719	120	6	246	395	131	1388	135	2	1426	3	1474	0	0	596	875	92	48	28	1	0	2	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;
OTU_223	7	0	0	0	4	0	0	0	9	0	2	0	0	1	0	0	0	0	0	0	0	7	0	0	5	0	0	0	0	0	54	0	841	0	0	0	0	0	22	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	11	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	2	0	0	0	0	0	0	0	0	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;;
OTU_11	3	0	1	0	1	0	1	0	4	1	0	0	584	197	0	0	87	146	233	1054	550	0	0	0	586	213	0	128	0	7	300	11	0	0	8	4	4	2	360	1	3	101	0	3637	1	18	112	311	0	101	0	3	5	0	0	18	0	59	3	0	710	266	516	0	104	6	0	0	0	233	82	129	453	0	1	0	1	0	0	2	1	195	1	0	0	1	60	0	37	0	148	490	91	16	1	3	1	43	0	832	1	763	73	0	1	271	0	0	731	309	1	0	278	47	61	0	0	1	0	617	86	0	0	7	21	0	57	15	0	2	0	0	0	0	1	135	43	10	0	1	2	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Parabacteroides;
OTU_20	11	1	0	0	0	1	0	0	0	0	0	0	99	662	0	3	0	0	7	0	0	0	0	0	0	0	3	16	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	4201	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3812	0	0	0	2	0	0	0	0	0	0	0	2	0	0	1	1	1	589	0	0	0	0	181	203	0	0	0	1	0	0	0	0	0	3712	0	0	0	0	1	0	0	0	0	1	4384	0	0	0	1	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;
OTU_141	59	0	0	0	0	15	0	6	0	0	0	225	3	0	0	0	0	0	0	0	0	0	0	2445	0	0	0	0	0	3	0	0	0	0	4	0	0	0	1	91	0	1	76	0	0	0	0	0	0	69	0	0	1	1	1	0	0	0	1	6	0	1	0	88	0	0	0	0	0	5	0	0	0	0	1	57	5	0	0	400	0	1	0	0	0	0	0	1470	0	2	0	0	0	0	1	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	31	0	0	0	0	2	0	0	0	0	4	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Megasphaera;
OTU_2976	3	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	1	0	0	0	0	0	0	0	0	0	1	0	0	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0	0	0	0	0	0	0	0	0	6	0	0	0	0	6	0	0	0	0	0	1	0	1	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	44	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae 1;;
OTU_1177	4	243	25	2	155	1	219	1	4	2277	427	7	942	80	3	86	195	526	336	5	177	6	359	913	437	239	339	35	337	330	215	669	4	219	116	76	6	460	783	0	307	338	2	1	0	418	376	246	0	84	722	55	0	6	8	41	123	440	319	1	161	208	330	0	229	410	118	730	12	899	43	502	510	1092	328	253	0	118	230	114	2218	290	2191	6	151	480	265	299	301	605	324	211	156	13	121	102	237	1024	424	596	1294	26	498	0	271	667	879	157	303	208	194	3306	427	159	53	322	0	1	151	0	176	2	281	257	87	490	68	405	378	1	502	0	2	316	1054	139	172	57	1	87	2	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;
OTU_274	18	1	0	0	0	3	2	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	254	0	0	0	3	0	0	0	0	0	22	0	1	1	1	1	0	0	0	0	7	0	0	0	0	5	0	0	0	0	0	0	2	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	Bacteria;Actinobacteria;Actinobacteria;Coriobacteriales;Coriobacteriaceae;Atopobium;
OTU_490	27	0	5	0	0	13	1	3	1	1	2	0	5	0	8	0	2	0	0	0	1	1	0	0	0	0	0	0	0	5	0	0	5	0	8	0	0	0	1	1	0	1	1	1	6	0	0	1	1	210	1	0	1	10	0	0	0	0	1	9	0	4	0	1	0	1	0	0	9	12	0	0	1	0	1	0	0	0	0	0	0	2	2	1	0	0	3	0	0	3	3	3	1	0	2	1	0	1	1	1	0	2	0	3	0	0	1	0	4	0	0	2	0	0	0	0	0	1	0	2	0	0	3	2	1	0	1	0	0	1	5	14	0	0	0	0	0	0	0	0	2	Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces;
OTU_27	1	45	1105	1	0	1	22	367	0	0	9	2	722	100	0	62	42	0	4	0	4	565	4	0	3	85	2	0	0	39	8	6	0	133	0	30	0	102	150	3	96	4	0	0	0	0	30	38	0	3	17	45	1	0	7	19	0	1	3	0	2	10	125	0	2021	118	115	30	2	84	69	1	67	0	1	6	3	0	167	0	7	44	0	543	57	16	27	0	32	0	0	81	51	5	0	1092	51	0	99	0	6	0	0	0	59	7	29	475	1362	22	523	89	0	236	13	20	0	0	114	7	32	1	49	3	4	0	1	2	1059	1	1580	1	0	5	156	57	100	1	0	0	3	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;
