#OTUId	16-TM29-FDA	13-TM42-FDA	23-T26-FDA	16-T26-FDA	20-TM30-FDA	18-TM36-FDA	23-T80-FDA	15-T52-FDA	26-S0-FDA	08-TM36-FDA	29-T13-FDA	18-T52-FDA	16-TM54-FDA	CONTROL5	19-S0-FDA	14-T52-FDA	19-T13-FDA	03-TM60-FDA	CONTROL3	27-T26-FDA	16-T106-FDA	23-TM42-FDA	35-T52-FDA	30-T80-FDA	27-T52-FDA	28-T52-FDA	20-T106-FDA	16-T80-FDA	22-T26-FDA	02-TM54-FDA	14-TM60-FDA	13-TM60-FDA	28-T26-FDA	26-T80-FDA	06-TM30-FDA	14-TM48-FDA	26-T13-FDA	13-TM30-FDA	15-T26-FDA	18-S0-FDA	13-TM48-FDA	33-T0-FDA	30-T26-FDA	27-T13-FDA	31-T0-FDA	28-T0-FDA	33-T13-FDA	33-T26-FDA	26-T26-FDA	07-T106-FDA	31-T80-FDA	14-TM42-FDA	22-S0-FDA	34-S0-FDA	13-T52-FDA	19-T80-FDA	08-TM48-FDA	03-TM48-FDA	31-T52-FDA	30-T13-FDA	16-T52-FDA	06-TM42-FDA	16-TM48-FDA	21-S0-FDA	07-TM54-FDA	05-TM36-FDA	14-T80-FDA	35-T13-FDA	28-T6-FDA	13-TM54-FDA	19-T26-FDA	02-TM60-FDA	12-T80-FDA	01-TM48-FDA	31-T8-FDA	16-S0-FDA	10-T106-FDA	26-T106-FDA	20-T52-FDA	30-T0-FDA	35-T80-FDA	06-TM36-FDA	10-TM36-FDA	15-T13-FDA	14-TM30-FDA	13-TM36-FDA	22-TM30-FDA	30-T52-FDA	22-TM36-FDA	22-T13-FDA	28-T106-FDA	16-TM42-FDA	14-TM54-FDA	JR-F-DA	31-T26-FDA	20-T6-FDA	14-TM36-FDA	28-S0-FDA	02-TM46-FDA	22-T52-FDA	01-TM60-FDA	19-T6-FDA	03-TM54-FDA	16-T6-FDA	23-T52-FDA	27-T39-FDA	35-T26-FDA	20-T26-FDA	11-T80-FDA	NP-F-DA	20-S0-FDA	14-T26-FDA	27-T80-FDA	07-TM60-FDA	CONTROL4	29-T0-FDA	16-T13-FDA	25-T26-FDA	13-T106-FDA	16-TM36-FDA	19-T106-FDA	18-T13-FDA	14-T106-FDA	27-T0-FDA	19-T52-FDA	26-TM30-FDA	22-T106-FDA	06-T106-FDA	20-T80-FDA	21-T6-FDA	20-T13-FDA	21-T13-FDA	22-T6-FDA	29-T26-FDA	05-TM48-FDA	CONTROL2	CONTROL1	CONTROL6	18-T26-FDA	08-TM42-FDA	08-T106-FDA	taxonomy
OTU_302	0	22	2	1	0	0	9	3	30	0	35	0	11	24	72	10	27	23	1	92	0	4	3	0	275	0	0	1	0	26	40	30	0	1	22	20	4	24	50	3	25	0	0	40	0	100	41	68	1	26	14	36	1	1	21	20	4	18	0	0	1	72	6	0	0	62	4	2	0	131	13	32	63	38	22	0	212	3	0	0	35	76	0	42	5	30	53	0	81	0	45	7	19	6	15	1	12	111	31	50	72	4	6	0	12	6	30	8	7	16	15	16	165	0	16	42	2	0	3	1	6	746	23	8	9	3	5	18	4	0	5	0	0	12	80	14	31	2	0	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Clostridium XlVa;
OTU_1064	0	5	0	0	120	2	61	0	26	0	17	1	86	14	0	3	20	3	11	259	20	50	9	0	61	0	26	3	3	11	2	12	0	0	1	1	1	9	39	1	5	55	0	203	50	0	33	65	0	9	21	4	0	0	0	6	0	28	17	0	41	21	37	33	119	26	5	22	0	3	1	32	0	0	0	32	0	0	6	0	79	22	0	2	3	4	6	0	4	0	1	10	2	4	1	50	3	2	43	3	46	22	9	0	39	37	74	20	66	37	8	51	70	10	15	86	0	0	9	84	5	0	6	15	4	0	0	7	43	0	59	0	0	11	11	31	18	1	0	0	0	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;
OTU_1155	0	7	0	59	0	0	1	0	29	2	0	0	0	3	0	1	0	13	10	50	14	0	0	0	4	1	0	1	0	0	1	19	0	20	2	1	30	8	0	0	6	0	0	50	0	0	0	0	61	2	13	1	0	0	0	0	0	13	36	0	16	2	0	0	17	0	4	0	0	5	0	2	0	0	0	28	0	31	1	19	1	3	0	1	2	5	1	0	0	0	0	0	2	0	0	1	2	0	16	0	23	0	13	0	0	35	0	0	0	0	11	20	13	0	0	0	0	0	6	0	0	0	4	8	0	16	0	1	33	0	6	0	0	0	9	0	0	3	0	0	0	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;
OTU_62	0	65	20	145	129	0	71	10	4	0	1	0	134	76	0	39	38	0	18	0	55	122	12	0	104	2	72	14	0	0	76	203	0	4	4	18	23	53	190	0	26	0	0	0	0	0	1	0	37	6	1	8	0	0	1	6	0	0	0	0	100	33	66	0	79	267	28	0	1	0	10	0	5	22	1	0	0	0	53	0	25	47	0	98	14	12	7	0	23	0	0	0	25	3	0	153	30	0	9	0	2	0	0	0	82	178	12	135	277	15	28	66	10	47	39	19	109	0	54	219	46	0	56	10	23	0	0	0	38	0	122	0	0	6	104	27	46	1	0	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillibacter;
OTU_79	0	8	8	113	40	0	122	1	20	0	1	0	64	10	0	9	5	13	21	1	5	28	2	0	4	0	65	3	0	2	0	127	0	2	0	3	0	27	27	0	14	43	0	71	0	0	2	0	4	0	17	4	0	0	0	3	0	1	9	0	6	1	1	0	11	84	1	0	0	6	4	0	7	1	1	0	0	1	12	0	25	1	0	48	3	4	3	0	13	0	0	26	5	1	1	348	1	0	6	0	2	1	3	0	23	8	13	22	1070	11	36	33	0	2	3	11	26	0	32	21	10	0	4	10	20	0	1	0	105	0	98	0	0	2	11	12	20	1	0	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;;
OTU_31	0	7	0	581	2	0	8	0	1	0	0	1	0	194	0	1	1	0	243	82	98	0	0	0	5	9	0	282	0	166	316	378	0	68	0	235	0	2003	0	0	201	0	0	0	0	0	0	0	2	0	142	123	0	1	3	272	2	62	0	0	546	1	0	0	0	226	163	0	0	99	1	0	40	0	0	1	0	0	0	2	0	2	0	1	56	6	0	0	8	0	0	0	159	16	0	0	106	0	10	0	2	0	0	0	2	0	0	2	1	1043	157	0	0	0	24	0	525	0	135	0	6	1	201	0	1	0	0	0	0	0	0	0	0	0	569	3	1593	25	0	1	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Gemmiger;
OTU_202	0	10	33	0	8	0	26	12	1	0	0	0	41	17	0	13	8	0	1	12	24	25	7	0	7	1	18	7	0	0	2	22	0	0	1	0	0	20	1	0	3	0	0	23	0	0	1	0	0	9	0	0	0	0	0	0	0	0	0	0	45	11	0	0	19	3	11	14	0	0	2	0	5	0	39	0	0	0	2	0	40	22	0	58	0	7	0	0	0	0	0	4	0	1	143	2	3	0	1	0	0	3	0	0	48	2	39	9	62	1	0	69	0	10	14	6	0	0	6	13	0	0	2	5	0	0	0	0	9	0	8	0	0	20	21	1	14	3	0	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Clostridium XlVb;
OTU_4767	0	16	1	44	39	0	0	0	0	0	0	0	41	0	0	0	0	136	0	2	30	1	0	983	0	2	0	2	0	0	0	0	0	4	0	0	232	108	0	0	38	0	434	2	0	0	0	0	34	0	0	0	0	0	39	0	0	174	0	1	11	0	3	0	0	0	0	0	0	0	0	0	0	0	0	124	0	0	0	216	0	0	1	0	0	5	30	263	86	0	0	44	0	0	0	1	0	0	0	177	0	0	22	118	0	0	0	0	0	0	12	0	0	0	0	0	42	0	88	35	0	0	0	0	0	0	24	0	2	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria;Firmicutes;Negativicutes;Selenomonadales;Acidaminococcaceae;Acidaminococcus;
OTU_35	0	9	62	21	1	0	19	0	16	0	172	0	81	83	3	181	186	65	9	200	13	193	110	1	2	0	1	23	0	0	103	0	0	179	2	0	43	45	193	0	11	1	0	0	0	0	0	2	286	7	260	2	0	7	0	120	0	27	0	1	22	0	0	0	104	634	5	49	6	0	52	0	9	13	47	1	0	0	38	1	1507	1262	0	797	61	14	13	0	177	0	0	72	0	78	0	0	230	0	36	4	0	1	1	0	308	1161	270	0	82	1	253	857	0	14	125	82	23	0	54	141	0	0	477	1	0	0	2	0	66	0	0	0	0	0	791	2075	124	23	0	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus;
OTU_3904	0	19	3	0	3	0	4	0	0	1	0	0	22	8	0	0	0	28	45	0	0	7	0	0	0	3	0	0	0	6	21	100	0	0	1	146	0	61	25	0	14	35	0	0	0	18	26	20	0	2	24	149	0	0	15	8	0	45	31	0	0	0	11	0	0	23	0	0	0	8	0	0	9	0	0	0	0	0	0	0	0	3	1	18	0	33	10	0	6	0	0	13	114	2	0	2	146	43	1	6	29	0	21	0	4	0	0	0	96	6	2	0	0	0	0	0	0	0	44	0	3	0	0	8	6	0	24	7	2	0	3	0	0	0	62	6	2	3	0	0	0	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;
