	H2	H3	H4	J2	J3	J4	J5	J6	L1	L2	L3	L4	L5	L6	M1	M2	M3	M4	M5	M6	N1	N2	N3	N4	N5	N6	O1	O2	O3	O4	O6	R1	R2	R3	R4	R5	R6	S1	S2	S3	S4	S5	S6	S7	T1	T2	T3	T4	T5	V1	V2	V3	V4	V5	V6	X1	X2	X3	X4	X5	X6	Z2	Z3	Z4	Z5
OTU_753	0.329781715	0	0	0	0	0	0	0	0	0	0	0	0.443871522	0	0	0	0	0.434490011	0	0	0	0.166922518	0	0	0	0	1.101475031	0.631997553	0.431270222	0	0	0.652867752	0.887774833	0.477881224	0	0	0	166.7922497	320.804799	245.8671288	492.0745599	14.76844524	281.2673849	430.1466828	0	0	3.318431268	0	0.900021782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_76	0	0	0	0	0	0	0	0	543.9611081	354.0409066	210.2334242	283.4258418	338.6739714	700.3632582	0	0	0	0	0.146156839	0	0	0	0	0	0	0	119.69362	82.15968186	116.44296	12.09281583	25.93253274	167.4605783	124.1405142	51.13329093	1.667922497	174.0005681	97.42679598	0	0	0	0	0	0	0.498431846	0.267547268	0.250652108	0	0	0	395.6673227	17.43932471	92.73186019	327.0016073	17.54973714	46.41781632	0	0	0	0	1.523037228	0	0	0	0	0
OTU_763	0	0	0	0	0	0	0	0	72.69820202	106.7833057	16.32126399	4.407568871	19.08647545	3.819295205	0	0	0	0	0	0	0	0	0	0	0	0	21.66234228	15.16794127	13.80064711	1.727545119	19.44939955	6.528677516	0	0.238940612	0.555974166	17.01860531	0	0	0	0	0	0	0	0	0	0	0	0.659431854	0	10.96974413	8.319677844	16.7905025	14.15667033	19.4759278	26.05912495	0	0	0	0	0	0	0	0	0	0
OTU_765	0.65956343	0	0.48824294	0	0	0	0	0	0.318851763	0	0.388601524	1.149800575	1.775486089	0.477411901	0.360967939	0	0	0	0.292313678	0	0	0	0	0	0	0	0.734316687	2.211991435	0.862540445	0.863772559	0.498702553	0.326433876	1.479624722	0.477881224	0	1.173696918	0	0.741298888	0.284906571	0.265228834	0.950868715	0.263722236	0.674502122	1.495295537	8.026418026	15.54043069	12.99718913	3.626875199	4.500108909	0.189133519	0.959962828	0.219483693	0.699094831	1.498148292	0.814347655	0.970028954	1.442554272	1.253097652	0	1.523037228	1.270826011	13.27972834	4.413079198	7.082508765	12.91149129
OTU_77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.902419848	6.371381211	2.99806514	0	0	4.486253829	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.267547268	0.250652108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_782	0	0	0	0	0	0	0	0	5.101628212	11.99170813	1.165804571	0.766533717	1.775486089	0	0	0	0	0	0	0	0	0	0	0	0	0	1.468633375	0.947996329	2.156351112	0	2.244161487	0	0	0	0	0.29342423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.159993805	0.109741846	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_79	0	0	0	0	0	0	0	0	0	0.28551686	0	0	0	0.477411901	0	0	0	0	0	0	0	0	0	0	0	0	281.2432913	323.582747	2.156351112	7.773953035	293.9851548	0.326433876	6.066461362	9.079743249	2.779870829	6.455333049	8.158894245	0	0	0.795686501	3.803474859	0	0	0	13.10981611	18.7989081	15.76254852	13.18863709	16.20039207	1.891335195	8.799659258	5.267608626	3.320700448	5.778571984	2.035869137	0	0	0	0	0	0	7.767388272	12.89976996	8.370237631	17.43051324
OTU_797	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.515362028	0	0	0	0	0	0	0.265228834	0	0	0	0	0	0	0	0	0	19.10248547	11.35956013	11.63263572	18.17646561	10.48703804	13.84391013	0.161671492	0	0	0	0	0.181546573	0	0	0	0
OTU_8	53.259747	274.1170335	46.54582693	188.4182872	463.0929138	538.1202867	101.9378988	616.5241404	83.53916197	44.25511332	305.829399	103.2904183	94.98850575	672.673368	0.18048397	0.15928453	0.999355047	0.434490011	1.169254713	21.30970569	277.1111577	100.1535105	484.5750091	312.2839138	585.9815476	377.397691	37.08299271	91.63964515	54.34004801	64.78294196	2.74286404	337.2061937	75.1649359	35.36321055	291.3304629	105.0458742	550.7253615	154.1901686	148.1514169	21.74876436	88.43079047	75.68828185	17.19980411	5.482750302	59.3954934	6.767606915	2.488823451	8.572614108	4.9501198	34.23316703	73.43715635	21.2899182	80.74545301	23.22129853	38.27433977	19.72392206	14.03211883	35.6237761	36.2179878	21.13214154	8.714235501	15.28421563	1.357870523	0.321932217	0.645574564
OTU_800	0	0	0	0	0	0	0	0	0	0	71.50268033	108.0812541	171.3344076	58.24425188	0	0	0	0	0	0	0	0	0	0	0	0	83.71210236	106.8075864	15.95699823	92.99951223	101.7353207	3.91720651	22.19437084	15.53113977	2.779870829	23.76736259	0.479934956	11.49013276	17.94911398	16.97464536	18.06650558	4.483278019	27.99183807	16.4482509	25.14944315	50.63172581	68.58091286	18.46409192	38.70093662	8.132741337	12.63951057	17.55869542	19.05033415	16.6936524	8.957824202	19.40057908	23.21200965	20.49709731	0	26.27239219	18.15465729	32.32235765	10.18402892	14.48694975	32.27872822
OTU_808	0	0	0	0	0	0	0	0	0	0	0.388601524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.941294662	6.371381211	5.663011932	2.027620049	0.876941035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_825	0	0	0	0	0	0	0	0	0	0	1.554406094	0	0	0	0	0.15928453	0	0	0	0	0	0	0	0	0	0	0	0	22.42605156	27.6407219	16.95588679	0	2.219437084	0.477881224	0	0.586848459	0	21.86831719	22.50761911	37.39726555	9.03325279	55.11794741	32.37610186	22.42943305	0	0.501304216	14.9329407	0	0.450010891	1.323934636	0.319987609	0.548709232	0.524321123	0.321031777	0.407173827	27.64582518	40.65380221	24.43540421	42.98917683	33.88757833	41.75571178	0.501121824	0.678935261	1.609661083	0
OTU_83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.862540445	0	0	52.22942013	47.20002865	78.13358006	17.7911733	104.7524499	10.55856902	0.370649444	0	0	0	0	0	0	0	0	0	0	0	79.81434522	0	141.6767237	0.174773708	188.1246212	0.407173827	0	0	0	0	0.190379654	0	0	0	0	0
OTU_84	0	0	0	0	0	0	0	0	183.6586156	154.7501382	78.10890624	86.80994342	168.2273069	109.3273252	0	0	0	0	0	0	0	0	0	0	0	0	94.35969433	50.24380545	78.49118046	45.77994565	59.34560377	0	0	0	0	0.29342423	0	0	0	0.265228834	0	0	0	0	0	0	0.553071878	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_847	0.824454288	0	1.46472882	0	0	0	0	0	0	0	0	0	0	0	0	0.15928453	0.166559174	0	0	0.160223351	0	2.003070211	0	0	0	0	0	0	0	0	0	9.793016274	5.770536418	27.00028913	3.335844995	14.67121148	2.639642256	1.853247219	9.971729987	25.72719687	0	0	1.011753183	0	0.535094535	0.250652108	0	4.286307054	1.800043563	3.59353687	28.47889724	19.31456496	2.272058202	15.51653588	32.16673236	1.778386415	0	2.058660428	7.87347561	1.332657575	1.997012302	0.501121824	0	0.321932217	0.645574564
OTU_85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.367158344	0	0.431270222	0	0	26.11471006	57.11351429	20.78783323	11.67545748	43.42678597	73.90998316	18.16182275	23.36233883	31.82746004	54.6749511	18.72427878	24.95657852	39.3761158	0	0	0	0	0	8.132741337	39.83845737	14.48592372	45.44116403	14.87447233	57.41150966	0	41.70293259	0	0	0	0.544639719	0	0	0	0
OTU_861	0	0	0	0	0	0	0	0	2.550814106	1.427584301	0	0.574900288	0.443871522	0.954823801	0	0	0	0	0	0	0	0	0	0	0	0	0.367158344	0	0	0.575848373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.943019943	2.757173188	3.871503145	0.989147782	0.450010891	0	0	0	0	0	0	0	0	0	0	0	0	0.250560912	6.449884982	3.219322166	1.613936411
OTU_87	0	0	0	0	0	0	0	0	4.463924686	11.99170813	0	12.26453947	16.42324632	2.387059503	0	0	0	0	0	0	2.45231113	0	3.173707402	0	0	0	13.21770037	3.791985317	6.469053335	2.879241865	8.228592119	0	0	0	0	0	0	0.370649444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_876	0	0	0	0	0	0	0	0	0.95655529	0.28551686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.367158344	0.315998776	0	0	0	0	0	0.238940612	0	0	0	0	0	0	0	0	0	0	9.364154364	9.023475887	6.360326596	3.297159272	0.900021782	0	0	0	0	0	0	0	0	0	0	0	0	2.255048208	33.2678278	25.75457733	6.455745645
OTU_88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.326433876	0	0	0	0	0	22.60961607	29.63028339	10.34392451	17.11563687	34.28389073	17.87430624	16.94668275	39.5969956	10.52738854	11.61450944	23.40983083	19.8004792	0	0	0	0	0	0	0.161671492	9.835597309	3.759292956	28.81692073	7.805565794	55.91634446	34.32684495	43.79132435	40.88539151	8.715256621
