Samples	M1_S1	M2_S2	M3_S3	N4_S4	N5_S5	N6_S6	O1_S7	O2_S8	O3_S9	V1_S10	V4_S12	V6_S11	X1_S13	X2_S14	X4_S15	Z2_S16	Z3_S17	Z4_S18
Condition	Remission-Responder	Remission-Responder	Remission-Responder	Relapse-non-responder	Relapse-non-responder	Relapse-non-responder	Baseline-Active	Baseline-Active	Baseline-Active	Baseline-Active	Baseline-Active	Baseline-Active	Relapse-non-responder	Relapse-non-responder	Relapse-non-responder	Remission-Responder	Remission-Responder	Remission-Responder
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides coprophilus 	3.25E-07	4.03E-06	5.09E-06	0	0	0	0	0	0	8.03E-06	5.38E-05	2.38E-05	2.10E-05	2.60E-05	0	6.53E-07	1.50E-07	0
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides dorei 	1.69E-05	2.06E-05	5.33E-05	7.53E-06	2.76E-06	0	0	0	1.00E-05	9.52E-05	0.000151791	0.000141722	2.03E-05	4.33E-05	4.30E-05	0.000110947	8.27E-05	0.000204471
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides eggerthii 	0	0	0	0	0	0	0	0	0.000347235	0	5.35E-07	1.37E-06	0	0	0	0.000254634	0.000108223	0.000337693
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides eggerthii CAG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.10E-06	0
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides faecichinchillae 	0	2.13E-06	0	0	0	0	5.97E-07	0	4.38E-06	6.91E-05	0.000868985	0.000321047	0.00247042	0.000644563	5.02E-07	1.85E-06	0	0
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides faecis 	0	0	0	0.000194748	2.04E-05	0	2.39E-06	3.80E-06	0.000304554	5.57E-06	1.42E-05	5.58E-06	0	0	0	5.44E-07	3.00E-07	5.12E-06
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides finegoldii 	0	0	0	0	0	0	0	0	0	1.56E-06	0	1.74E-06	0	0	0	5.32E-05	2.10E-06	1.55E-05
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides fluxus 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.70E-05	2.28E-05	3.64E-05
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides fragilis 	0.000710432	0.000746124	0.000697099	0.011372391	0.006337608	0.021986341	6.63E-05	7.19E-05	0.000704163	0.000999363	0.000358731	0.000257632	0.00064893	0.000686651	5.86E-05	0.000173599	0.000408909	0.000246615
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides fragilis CAG	0	0	0	4.76E-05	3.12E-05	7.54E-05	5.37E-06	5.31E-06	1.25E-06	9.59E-06	1.07E-06	6.21E-07	0	0	0	8.70E-07	1.35E-06	9.96E-07
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides gallinarum 	0	0	3.92E-07	0	0	0	0	0	0	0	0	0	0	0	0	0.000307606	0.000134604	0.000221039
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides intestinalis 	3.73E-06	4.98E-06	4.31E-06	0	0	0	2.00E-05	2.05E-05	5.78E-06	3.10E-05	2.06E-05	7.32E-06	5.08E-06	8.68E-06	1.17E-05	5.87E-06	9.14E-06	4.44E-06
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides intestinalis CAG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.41E-06	8.24E-06	4.12E-06
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides mediterraneensis 	1.95E-06	2.37E-07	2.74E-06	0	0	0	0	0	0	0	0	0	0	0	0	0.00027356	0.000132655	0.000152776
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides nordii 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.19E-05	0.000146745	0.000104839
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides ovatus 	0.000126335	8.77E-05	6.52E-05	0	0	0	0.000500191	0.00063104	0.001042487	0.000701249	0.000953581	0.000946387	0.001052341	0.001343722	0.000209852	0.001056716	0.000486254	0.000779182
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides pyogenes 	0	0	0	0	0	0	0	0	4.69E-07	0	0	0	0	0	0	6.42E-06	5.25E-06	5.12E-06
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides salanitronis 	0	0	0	2.02E-05	1.38E-06	0	0	0	0	0	0	0	0	0	5.02E-07	2.07E-06	1.95E-06	4.53E-08
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides sp. 1_1_14 	0	0	0	0	0	0	0	0	4.69E-07	1.34E-06	1.34E-06	1.24E-07	0	0	0	1.50E-05	3.00E-06	3.26E-06
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides sp. 1_1_30 	0	0	0	0	0	0	0	0	7.82E-07	1.78E-05	2.60E-05	2.66E-05	1.90E-05	2.19E-05	8.37E-07	2.18E-07	0	4.53E-08
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides sp. 2_2_4 	0	0	0	0	0	0	0	0	2.50E-06	0	0	9.93E-07	0	0	0	6.20E-06	8.24E-06	8.15E-06
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides sp. 3_1_13 	5.20E-06	5.45E-06	2.94E-06	0	0	0	0	0	3.13E-07	1.11E-06	2.41E-06	3.60E-06	1.41E-06	3.97E-06	8.37E-07	5.55E-06	5.55E-06	4.35E-06
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides sp. 3_1_23 	0	0	0	0	0	0	6.57E-06	1.08E-05	1.72E-06	2.92E-05	3.13E-05	3.18E-05	6.87E-05	7.18E-05	5.19E-06	3.00E-05	6.75E-05	3.78E-05
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides sp. 3_1_40A 	6.02E-05	7.96E-05	5.48E-05	0	0	0	0	0	0	2.12E-05	2.68E-06	1.74E-06	0	0	0	5.06E-05	3.57E-05	5.30E-05
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides sp. 4_3_47FAA 	9.74E-07	7.11E-07	1.96E-06	0	0	0	1.01E-05	7.02E-06	3.74E-05	0	0	4.96E-07	1.41E-07	1.47E-07	6.69E-07	5.76E-06	1.17E-05	9.28E-06
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides sp. 9_1_42FAA 	0	0	0	0	0	0	5.07E-06	3.04E-06	1.72E-06	4.68E-05	5.94E-05	6.07E-05	0	0	0	6.42E-06	1.12E-05	1.28E-05
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides sp. AF29-11 	0	0	2.15E-06	0	0	0	0	0	0	1.34E-06	8.03E-07	2.85E-06	0	0	0	5.44E-07	7.79E-06	1.81E-07
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides sp. AF39-10AT 	0	5.36E-05	0	0	0	1.61E-07	0	1.90E-07	9.69E-06	0.000157865	0.000184452	0.000248324	0.000440945	0.000536547	3.35E-07	1.96E-06	0	4.53E-08
