Samples	M1_S1	M2_S2	M3_S3	N4_S4	N5_S5	N6_S6	O1_S7	O2_S8	O3_S9	V1_S10	V4_S12	V6_S11	X1_S13	X2_S14	X4_S15	Z2_S16	Z3_S17	Z4_S18
Condition	Remission-Responder	Remission-Responder	Remission-Responder	Relapse-non-responder	Relapse-non-responder	Relapse-non-responder	Baseline-Active	Baseline-Active	Baseline-Active	Baseline-Active	Baseline-Active	Baseline-Active	Relapse-non-responder	Relapse-non-responder	Relapse-non-responder	Remission-Responder	Remission-Responder	Remission-Responder
Bacteria |Firmicutes |Clostridia |Clostridiales |Lachnospiraceae |Lachnoclostridium |[Clostridium] bolteae 	1.07E-05	3.13E-05	2.00E-05	0	0	0	9.55E-06	7.40E-06	9.54E-06	6.69E-07	6.43E-06	2.73E-06	0.00029307	0.000159963	0.000139232	0.000177733	9.10E-05	0.00015676
Bacteria |Firmicutes |Clostridia |Clostridiales |Lachnospiraceae |Lachnoclostridium |[Clostridium] citroniae 	1.28E-05	1.52E-05	1.35E-05	0	0	0	0.000247409	0.000446947	0.000110377	6.85E-05	0.000141886	6.86E-05	9.20E-05	6.18E-06	0.00022006	0.000134224	7.37E-05	7.73E-05
Bacteria |Firmicutes |Clostridia |Clostridiales |Lachnospiraceae |Lachnoclostridium |[Clostridium] clostridioforme 	0.000501605	0.001556243	0.000763499	0	1.93E-06	0	7.16E-06	1.23E-05	4.22E-06	1.00E-05	3.69E-05	2.49E-05	8.86E-05	0.000123173	6.34E-05	0.001957127	0.000682014	0.001493452
Bacteria |Firmicutes |Clostridia |Clostridiales |Lachnospiraceae |Lachnoclostridium |[Clostridium] lavalense 	1.62E-07	4.74E-07	5.88E-07	0	0	0	0	0	1.88E-06	4.68E-06	2.41E-05	3.35E-06	8.00E-05	1.25E-05	0	2.80E-05	5.22E-05	2.28E-05
Bacteria |Firmicutes |Clostridia |Clostridiales |Lachnospiraceae |Lachnoclostridium |[Clostridium] scindens 	0.00036845	0.000296032	0.000423078	0	0	0	0	0	0	2.23E-07	2.68E-07	3.72E-07	2.12E-06	8.83E-07	5.02E-07	0	1.05E-06	4.98E-06
Bacteria |Firmicutes |Clostridia |Clostridiales |Lachnospiraceae |Lachnoclostridium |[Clostridium] symbiosum 	2.03E-05	3.56E-05	2.00E-05	0	0	0	0	0	0	0	0	0	0.0001689	5.02E-05	0.000180901	0.000144775	0.000186017	0.00011611
Bacteria |Firmicutes |Clostridia |Clostridiales |Lachnospiraceae |Lachnoclostridium |Lachnoclostridium sp. An118 	7.14E-06	1.35E-05	6.86E-06	0	0	0	0	0	3.13E-07	0	0	0	0	1.72E-05	0	0	0	1.36E-07
Bacteria |Firmicutes |Clostridia |Clostridiales |Lachnospiraceae |Lachnoclostridium |Lachnoclostridium sp. An169 	4.01E-05	9.48E-05	4.96E-05	0	0	0	0	0	1.25E-06	0	0	0	0	4.41E-07	0	0	2.25E-06	0
Bacteria |Firmicutes |Clostridia |Clostridiales |Lachnospiraceae |Lachnoclostridium |Unknown	0.000720662	0.002203532	0.001048489	0	5.51E-07	0	0.000247111	0.000235525	0.000155091	0.000197554	0.001016493	0.000324025	0.000836314	0.000413521	0.000910029	0.003509841	0.001317112	0.00145665
Bacteria |Firmicutes |Clostridia |Clostridiales |Lachnospiraceae |Oribacterium |Unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	1.18E-06	0	1.52E-06	1.05E-06	1.81E-07
Bacteria |Firmicutes |Clostridia |Clostridiales |Lachnospiraceae |Robinsoniella |Unknown	1.95E-06	6.87E-06	2.55E-06	6.33E-05	0.00143608	0.000187978	0	1.14E-06	6.25E-07	0	0	3.72E-07	6.35E-06	1.32E-05	1.61E-05	1.09E-07	4.50E-07	4.98E-07
Bacteria |Firmicutes |Clostridia |Clostridiales |Lachnospiraceae |Roseburia |Roseburia hominis 	4.55E-06	3.03E-05	1.55E-05	0	0	0	0	0	0	0	0	0	0.000873	1.41E-05	3.51E-06	0	6.30E-06	0
Bacteria |Firmicutes |Clostridia |Clostridiales |Lachnospiraceae |Roseburia |Roseburia sp. CAG	1.14E-06	1.42E-06	3.33E-06	0	0	0	0	0	0	0	0	0	1.41E-07	8.83E-07	5.02E-07	2.15E-05	1.47E-05	5.16E-05
Bacteria |Firmicutes |Clostridia |Clostridiales |Lachnospiraceae |Sellimonas |Sellimonas intestinalis* 	6.66E-06	9.01E-06	7.05E-06	0	0	0	0	0	0	0	0	0	3.95E-06	3.09E-06	3.35E-07	3.21E-05	1.54E-05	1.09E-05
Bacteria |Firmicutes |Clostridia |Clostridiales |Lachnospiraceae |Tyzzerella |Tyzzerella sp. Marseille-P3062 	0	0	0	0	0	0	1.49E-06	5.39E-05	1.56E-07	0	0	7.45E-07	0	0	0	6.53E-06	1.12E-05	3.20E-05
Bacteria |Firmicutes |Clostridia |Clostridiales |Lachnospiraceae |Tyzzerella |Unknown	0	0	0	0	0	0	1.01E-05	0.000327761	1.56E-07	0	0	5.21E-06	1.41E-05	0	0	6.09E-06	1.11E-05	2.95E-05
Bacteria |Firmicutes |Clostridia |Clostridiales |Lachnospiraceae |Unknown|Lachnospiraceae bacterium 1_4_56FAA 	6.50E-07	4.74E-07	1.96E-07	0	0	0	0	0	0	0	0	0	5.64E-07	1.47E-07	1.19E-05	0	1.50E-07	0
Bacteria |Firmicutes |Clostridia |Clostridiales |Lachnospiraceae |Unknown|Lachnospiraceae bacterium 2_1_46FAA 	6.17E-06	1.28E-05	5.88E-06	0	0	0	0	0	0	4.46E-07	0	0	1.55E-06	7.36E-07	6.69E-07	3.26E-07	6.00E-07	5.43E-07
Bacteria |Firmicutes |Clostridia |Clostridiales |Lachnospiraceae |Unknown|Lachnospiraceae bacterium 6_1_63FAA 	3.25E-07	9.48E-07	1.96E-07	0	0	0	0	0	4.69E-07	2.23E-07	0	1.24E-06	0	0	0	1.09E-07	0	2.26E-07
Bacteria |Firmicutes |Clostridia |Clostridiales |Lachnospiraceae |Unknown|Lachnospiraceae bacterium 7_1_58FAA 	5.20E-05	0.000280389	0.000186076	0	0	0	8.24E-05	4.52E-05	0.000154153	0.00015073	5.41E-05	0.000112683	4.09E-06	4.92E-05	1.44E-05	2.56E-05	4.05E-05	2.06E-05
Bacteria |Firmicutes |Clostridia |Clostridiales |Lachnospiraceae |Unknown|Lachnospiraceae bacterium FE2018 	1.62E-07	9.48E-07	3.92E-07	0	0	0	0	0	0	2.23E-07	0	4.96E-07	0	1.62E-06	0	3.73E-05	5.40E-06	4.07E-06
Bacteria |Firmicutes |Clostridia |Clostridiales |Lachnospiraceae |Unknown|Lachnospiraceae bacterium M18-1 	1.62E-06	2.61E-06	1.76E-06	0	0	0	0	0	2.81E-06	0	0	0	2.07E-05	3.09E-06	1.67E-07	5.00E-06	4.80E-06	1.27E-05
Bacteria |Firmicutes |Clostridia |Clostridiales |Lachnospiraceae |Unknown|Lachnospiraceae bacterium OF09-33XD 	2.27E-06	6.40E-06	1.96E-06	0	0	0	0	9.49E-07	4.69E-07	0	0	0	8.47E-07	2.35E-06	0	1.09E-07	1.50E-07	1.36E-07
Bacteria |Firmicutes |Clostridia |Clostridiales |Lachnospiraceae |Unknown|Unknown	0.009206872	0.017753398	0.008622957	6.85E-06	4.69E-06	3.22E-07	0.001358812	0.001932975	0.001183038	0.006054599	0.006373625	0.005929375	0.026241934	0.003199711	0.03348081	0.002464655	0.00129178	0.002931089
Bacteria |Firmicutes |Clostridia |Clostridiales |Oscillospiraceae |Oscillibacter |Oscillibacter sp. CAG	6.98E-06	1.30E-05	1.14E-05	0	0	0	3.88E-06	2.28E-06	2.50E-06	0	0	0	4.37E-06	1.03E-05	0	4.35E-07	0	3.17E-07
Bacteria |Firmicutes |Clostridia |Clostridiales |Oscillospiraceae |Oscillibacter |Oscillibacter valericigenes 	0	0	0	0	0	0	0	0	0	2.23E-07	0	1.24E-07	7.20E-06	1.47E-07	8.37E-07	1.09E-07	3.00E-07	1.81E-07
Bacteria |Firmicutes |Clostridia |Clostridiales |Oscillospiraceae |Oscillibacter |uncultured Oscillibacter sp. 	5.85E-06	1.37E-05	2.23E-05	0	0	0	0	0	0	0	0	0	1.35E-05	2.06E-05	3.35E-07	2.18E-07	6.00E-07	1.36E-07
Bacteria |Firmicutes |Clostridia |Clostridiales |Peptococcaceae |Dehalobacterium |Dehalobacterium formicoaceticum* 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.18E-07	8.99E-07	3.30E-06
Bacteria |Firmicutes |Clostridia |Clostridiales |Peptostreptococcaceae |Clostridioides |Clostridioides difficile 	1.88E-05	4.72E-05	5.25E-05	4.93E-05	9.10E-06	1.68E-05	1.19E-06	3.61E-06	2.50E-06	2.68E-06	1.87E-06	3.10E-06	0.000166501	0.000101982	2.51E-05	3.09E-05	0.00015424	0.000632381
Bacteria |Firmicutes |Clostridia |Clostridiales |Peptostreptococcaceae |Unknown|Unknown	6.50E-07	2.84E-06	9.79E-07	0.037322472	0.003700614	0.012973712	0	0	0	0	0	2.48E-07	2.82E-07	4.41E-07	6.18E-05	3.37E-06	3.15E-06	1.22E-06
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Acutalibacter |Acutalibacter sp. 1XD8-33 	1.14E-06	7.11E-07	9.79E-07	0	0	0	0	0	0	0	0	0	0	5.89E-07	1.67E-07	5.44E-07	1.80E-06	6.34E-07
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Agathobaculum |Agathobaculum desmolans 	1.62E-07	1.90E-06	1.18E-06	0	0	0	5.07E-06	3.23E-06	3.13E-06	0	2.41E-06	0	0	0	0	2.18E-06	4.65E-06	1.95E-06
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Anaerofilum |Anaerofilum sp. An201* 	3.90E-06	5.45E-06	7.25E-06	0	0	0	5.97E-07	7.59E-07	0	0	0	0	2.82E-07	4.41E-07	1.00E-06	2.18E-07	4.50E-07	3.17E-07
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Anaeromassilibacillus |Anaeromassilibacillus senegalensis 	3.25E-07	9.48E-07	1.76E-06	0	0	0	8.95E-07	7.59E-07	6.25E-07	0	0	2.48E-07	0	4.41E-07	0	2.18E-07	3.00E-07	7.24E-07
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Anaeromassilibacillus |Anaeromassilibacillus sp. An172 	3.90E-06	1.35E-05	3.92E-06	0	0	0	0	0	0	0	0	0	7.06E-07	1.77E-06	0	3.26E-07	1.50E-07	3.62E-07
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Anaeromassilibacillus |Anaeromassilibacillus sp. An250 	1.62E-06	8.53E-06	2.74E-06	0	0	0	0	0	0	0	0	0	1.13E-06	2.35E-06	0	0	1.50E-07	9.05E-08
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Anaeromassilibacillus |Anaeromassilibacillus sp. Marseille-P4683 	3.25E-06	4.27E-06	3.92E-06	0	0	0	0	0	0	0	0	0	2.82E-07	6.03E-06	0	3.26E-07	4.50E-07	2.26E-07
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Anaeromassilibacillus |Unknown	6.50E-07	1.66E-06	2.15E-06	0	0	0	5.97E-07	3.23E-06	2.03E-06	2.45E-06	1.07E-06	1.24E-06	1.83E-06	1.32E-06	8.37E-07	1.09E-07	6.00E-07	4.07E-07
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Anaerotruncus |Anaerotruncus colihominis 	6.33E-06	2.49E-05	4.45E-05	0	0	0	2.03E-05	8.35E-06	6.88E-06	0	1.55E-05	0	1.40E-05	1.80E-05	0.00038088	9.25E-06	1.50E-07	1.49E-05
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Anaerotruncus |Anaerotruncus sp. AF02-27 	0	0	0	0	0	0	0	0	0	0	0	0	8.47E-07	5.89E-07	6.36E-06	6.53E-07	0	4.53E-07
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Anaerotruncus |Anaerotruncus sp. G32012 	0	0	7.83E-07	0	0	0	0	0	0	0	3.75E-06	0	0	0	3.35E-07	1.09E-07	0	2.26E-07
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Anaerotruncus |uncultured Anaerotruncus sp. 	0	0	0	0	0	0	2.39E-06	2.85E-06	1.25E-06	6.69E-07	5.35E-07	1.12E-06	0	0	0	3.26E-07	6.00E-07	6.34E-07
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Anaerotruncus |Unknown	1.14E-06	4.03E-06	7.05E-06	0	0	0	0	0	0	0	0	0	3.95E-06	1.77E-06	3.10E-05	6.53E-07	0	1.18E-06
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Drancourtella |Drancourtella massiliensis 	6.01E-06	1.42E-05	6.86E-06	0	0	0	0	0	0	0	0	0	8.47E-07	5.89E-07	0	2.18E-07	0	1.36E-07
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Drancourtella |Drancourtella sp. An57 	8.12E-07	4.74E-07	5.88E-07	0	0	0	0	0	0	0	0	0	0	0	0	1.74E-06	1.20E-06	6.34E-07
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Drancourtella |Unknown	1.14E-06	1.19E-06	1.57E-06	0	0	0	0	0	0	0	0	0	1.83E-06	1.47E-06	0	1.09E-07	0	9.05E-08
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Faecalibacterium |Faecalibacterium prausnitzii 	0.002860889	5.21E-06	0.004988599	0	0	0	6.86E-06	4.55E-06	3.75E-06	0	0	0	3.53E-06	3.53E-06	1.84E-06	1.09E-07	1.50E-07	4.53E-08
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Faecalibacterium |Unknown	0.008227369	3.03E-05	0.014053047	0	5.51E-07	0	0	0	0	0	0	0	4.23E-06	1.32E-06	0	0	1.50E-07	1.36E-07
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Flavonifractor |Flavonifractor plautii 	9.97E-05	0.000211418	0.000308886	0	0	0	0.000262033	0.000167961	0.000125386	0.00011929	0.000229695	7.87E-05	0.000138845	0.000339941	0.000573998	4.73E-05	9.01E-05	5.02E-05
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Flavonifractor |Flavonifractor sp. An52 	0	2.61E-06	5.88E-07	0	0	0	0	0	0	0	1.61E-06	0	0	4.41E-07	0	1.09E-07	0	4.53E-08
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Flavonifractor |Flavonifractor sp. An91 	9.58E-06	1.94E-05	1.21E-05	0	0	0	0	1.90E-07	1.56E-07	1.27E-05	0	8.19E-06	1.27E-06	1.47E-06	4.52E-06	1.74E-06	7.49E-07	5.93E-06
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Flavonifractor |Unknown	2.31E-05	5.31E-05	8.68E-05	0	0	0	2.78E-05	2.90E-05	1.91E-05	4.24E-06	1.53E-05	5.21E-06	8.18E-06	1.16E-05	1.81E-05	3.05E-06	6.30E-06	3.62E-06
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Gemmiger |Gemmiger sp. An194 	3.25E-07	2.37E-07	3.92E-07	8.66E-05	1.93E-06	1.37E-05	0	0	0	0	0	0	0	0	0	5.44E-07	4.50E-07	1.36E-07
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Pseudoflavonifractor |Pseudoflavonifractor capillosus 	3.90E-06	1.07E-05	9.99E-06	0	0	0	0	0	0	0	0	0	7.20E-06	7.36E-07	3.35E-07	5.44E-07	0	3.17E-07
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Pseudoflavonifractor |Pseudoflavonifractor sp. An184 	2.60E-06	1.19E-06	4.11E-06	0	0	0	1.34E-05	7.59E-06	4.69E-06	0	0	0	3.53E-06	1.27E-05	0	1.09E-07	0	9.05E-08
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Pseudoflavonifractor |Unknown	2.60E-06	5.45E-06	4.70E-06	0	0	0	0	0	0	0	0	0	0	4.41E-07	0	1.09E-07	0	9.05E-08
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Ruminococcus |[Ruminococcus] gnavus CAG	1.62E-07	5.45E-06	1.18E-06	0	0	0	5.67E-06	6.07E-06	3.60E-06	0	0	2.48E-07	0	0	0	0	4.65E-06	0
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Ruminococcus |Ruminococcus sp. 5_1_39BFAA 	0	0	0	0	0	0	0	0	0	0	0	0	3.29E-05	3.09E-06	0	9.79E-07	4.50E-07	9.05E-08
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Ruminococcus |Ruminococcus sp. AF41-9 	1.95E-06	3.08E-06	2.15E-06	0	0	0	0	0	0	0	0	0	1.41E-07	4.27E-06	1.67E-07	0	6.00E-07	3.17E-07
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Ruminococcus |Ruminococcus sp. AF45-4BH 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.48E-06	3.00E-07	2.17E-06
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Ruminococcus |Ruminococcus sp. CAG	2.44E-06	4.74E-06	1.76E-06	0	0	0	0	0	0	0	0	0	7.06E-07	1.47E-06	0	1.09E-07	1.50E-07	3.17E-07
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Ruminococcus |Ruminococcus sp. DSM 100440 	4.06E-06	4.74E-06	3.53E-06	0	0	0	0	0	0	0	0	0	0	0	0	3.59E-06	1.35E-06	1.58E-06
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Ruminococcus |Ruminococcus sp. OM05-10BH 	2.60E-06	5.93E-06	4.11E-06	0	0	0	0	0	9.38E-07	0	0	0	0	0	0	2.07E-06	1.35E-06	6.34E-07
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Ruminococcus |uncultured Ruminococcus sp. 	5.20E-06	9.48E-06	4.70E-06	0	0	0	1.49E-06	6.64E-06	3.91E-06	0.000215169	1.87E-06	0.000111194	1.89E-05	9.71E-06	6.19E-06	0	1.50E-07	2.72E-07
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Ruminococcus |Unknown	1.36E-05	3.56E-05	1.51E-05	0	8.27E-07	0	1.19E-06	3.80E-07	6.25E-07	6.69E-07	8.03E-07	6.21E-07	3.09E-05	4.69E-05	0.000106098	3.81E-06	4.50E-07	1.45E-06
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Subdoligranulum |Subdoligranulum variabile 	4.06E-06	7.11E-06	1.63E-05	0	0	0	2.39E-06	2.66E-06	1.45E-05	2.27E-05	2.17E-05	1.44E-05	7.06E-07	5.89E-07	0	2.18E-07	0	1.36E-07
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Unknown|[Clostridium] leptum 	1.62E-06	3.56E-06	1.37E-06	0	0	0	2.09E-06	3.80E-07	7.82E-07	0	0	0	1.41E-07	1.47E-07	0	4.35E-07	1.50E-07	4.07E-07
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Unknown|[Clostridium] methylpentosum 	8.12E-07	2.13E-06	1.57E-06	0	0	0	2.69E-06	1.71E-06	1.72E-06	0	0	0	2.82E-07	5.89E-07	1.34E-06	2.18E-07	3.00E-07	2.26E-07
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Unknown|[Clostridium] viride 	6.50E-07	7.11E-07	1.37E-06	0	0	0	5.97E-07	0	1.56E-07	1.34E-06	2.68E-07	9.93E-07	2.26E-06	1.32E-06	0	0	0	1.81E-07
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Unknown|[Eubacterium] siraeum 	1.14E-06	4.50E-06	1.96E-07	0	0	0	0	0	7.82E-07	0	0	0	0	1.62E-06	0	5.98E-06	1.12E-05	4.26E-06
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Unknown|Ruminococcaceae bacterium D5 	9.74E-07	7.11E-07	1.96E-06	0	0	0	0	0	0	0	0	0	1.13E-06	7.36E-07	8.37E-07	4.35E-07	3.00E-07	9.05E-08
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Unknown|Unknown	0.011571027	0.010648389	0.013568465	0	8.27E-07	0	0.000105947	5.81E-05	0.004800631	5.49E-05	8.19E-05	4.52E-05	0.000382528	0.000379674	0.00013371	3.98E-05	2.73E-05	6.42E-05
Bacteria |Firmicutes |Clostridia |Clostridiales |Unknown|Intestinimonas |Intestinimonas butyriciproducens 	1.75E-05	1.99E-05	0.000126532	0	0	0	0	0	0	0	8.30E-06	0	0	4.41E-06	1.51E-06	3.15E-06	7.49E-06	4.07E-06
Bacteria |Firmicutes |Clostridia |Clostridiales |Unknown|Unknown|Clostridiales bacterium 	4.55E-05	0.000131544	6.13E-05	0	0	0	2.09E-06	1.33E-06	9.69E-06	0.003457414	0.000420304	0.003108457	1.17E-05	1.60E-05	1.51E-06	1.20E-06	2.25E-06	2.72E-06
Bacteria |Firmicutes |Clostridia |Clostridiales |Unknown|Unknown|Clostridiales bacterium 1_7_47FAA 	6.50E-06	7.58E-06	6.27E-06	2.74E-06	4.41E-06	6.45E-07	1.19E-06	7.59E-07	1.41E-06	2.01E-06	7.76E-06	2.48E-06	1.83E-06	0	2.68E-06	9.90E-06	4.20E-06	5.30E-06
Bacteria |Firmicutes |Clostridia |Clostridiales |Unknown|Unknown|Clostridiales bacterium 41_21_two_genomes 	0	0	0	0	0	0	0	0	0	0	0	0	0	2.94E-07	0	0	0	6.79E-07
Bacteria |Firmicutes |Clostridia |Clostridiales |Unknown|Unknown|Clostridiales bacterium TF09-2AC 	1.43E-05	1.26E-05	1.04E-05	0	0	0	8.95E-07	1.33E-06	1.56E-07	1.34E-06	2.68E-07	1.86E-06	0	0	0	3.37E-06	3.30E-06	4.07E-07
Bacteria |Firmicutes |Clostridia |Clostridiales |Unknown|Unknown|Clostridiales bacterium VE202-03 	3.90E-06	1.02E-05	1.88E-05	0	0	0	7.40E-05	6.40E-05	3.78E-05	1.56E-06	3.21E-06	9.93E-07	2.12E-06	2.65E-06	5.69E-06	3.05E-06	5.70E-06	3.71E-06
Bacteria |Firmicutes |Clostridia |Clostridiales |Unknown|Unknown|Clostridiales bacterium VE202-06 	1.58E-05	3.41E-05	1.90E-05	0	0	0	0	0	1.72E-06	0	0	0	0	0	0	5.10E-05	4.39E-05	0.000207052
Bacteria |Firmicutes |Clostridia |Clostridiales |Unknown|Unknown|Clostridiales bacterium VE202-13 	0	2.37E-07	7.83E-07	0	0	0	0	0	0	0	0	0	4.23E-07	4.41E-07	3.35E-06	0	0	3.62E-07
Bacteria |Firmicutes |Clostridia |Clostridiales |Unknown|Unknown|Clostridiales bacterium VE202-28 	7.79E-06	1.33E-05	8.23E-06	0	0	0	0	0	0	0	0	0	9.17E-06	1.62E-06	1.09E-05	1.95E-05	1.47E-05	7.70E-06
Bacteria |Firmicutes |Clostridia |Clostridiales |Unknown|Unknown|Unknown	0.085581465	0.219921093	0.161084224	0.044652046	0.015096068	0.010161456	0.089242584	0.068929883	0.067482114	0.080036701	0.091261056	0.082074794	0.195630935	0.13021305	0.152542693	0.155696166	0.079990365	0.114201631
Bacteria |Firmicutes |Clostridia |Unknown|Unknown|Unknown|Clostridia bacterium 	1.95E-06	3.56E-06	2.15E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.50E-07	9.51E-07
Bacteria |Firmicutes |Clostridia |Unknown|Unknown|Unknown|Clostridia bacterium UC5.1-1D1 	8.12E-07	9.48E-07	1.37E-06	0	0	0	1.85E-05	1.25E-05	1.11E-05	0	0	0	0	0	0	7.29E-06	8.69E-06	4.93E-06
Bacteria |Firmicutes |Clostridia |Unknown|Unknown|Unknown|Clostridia bacterium UC5.1-2H11 	2.44E-06	8.06E-06	5.48E-06	0	0	0	0	0	0	0	1.93E-05	0	0	0	3.35E-07	5.44E-07	8.99E-07	4.98E-07
Bacteria |Firmicutes |Clostridia |Unknown|Unknown|Unknown|Unknown	0.000749242	0.001189343	0.002297941	0.000532904	6.07E-05	0.000206679	0.000953228	0.000762942	0.000667892	0.001710869	0.001168284	0.00128096	0.000425282	0.000546848	0.001231502	0.000378308	0.00061696	0.000311121
Bacteria |Firmicutes |Erysipelotrichia |Erysipelotrichales |Erysipelotrichaceae |Candidatus Stoquefichus |Candidatus Stoquefichus sp. KLE1796 	1.62E-07	1.42E-05	8.81E-06	0	0	0	0	0	0	0	0	0	0	0	0	4.35E-07	3.00E-07	3.17E-07
Bacteria |Firmicutes |Erysipelotrichia |Erysipelotrichales |Erysipelotrichaceae |Catenibacterium |Catenibacterium mitsuokai 	8.12E-07	4.27E-06	1.96E-07	0	0	0	0	0	1.41E-06	1.96E-05	2.46E-05	2.93E-05	5.64E-07	1.47E-07	0	4.10E-05	1.26E-05	4.12E-06
Bacteria |Firmicutes |Erysipelotrichia |Erysipelotrichales |Erysipelotrichaceae |Coprobacillus |Coprobacillus sp. 3_3_56FAA 	0	7.11E-07	5.88E-07	0	0	0	3.52E-05	1.52E-05	1.64E-05	0	0	0	1.02E-05	3.38E-06	5.96E-05	5.44E-07	0	4.26E-06
Bacteria |Firmicutes |Erysipelotrichia |Erysipelotrichales |Erysipelotrichaceae |Coprobacillus |Coprobacillus sp. D7 	9.74E-07	1.42E-06	1.37E-06	0	0	0	0	1.52E-06	3.13E-07	8.92E-07	1.34E-06	6.21E-07	9.88E-07	5.89E-07	4.85E-06	3.26E-07	4.50E-07	3.62E-07
Bacteria |Firmicutes |Erysipelotrichia |Erysipelotrichales |Erysipelotrichaceae |Erysipelatoclostridium |[Clostridium] innocuum 	2.27E-06	4.74E-06	2.35E-06	0	0	0	5.97E-06	6.07E-06	3.13E-06	1.56E-06	5.35E-07	2.36E-06	4.16E-05	5.58E-05	7.53E-06	2.28E-06	4.20E-06	3.76E-06
Bacteria |Firmicutes |Erysipelotrichia |Erysipelotrichales |Erysipelotrichaceae |Erysipelatoclostridium |[Clostridium] saccharogumia 	3.25E-07	2.61E-06	1.18E-06	0	0	0	0	0	0	0	0	0	7.06E-07	5.89E-07	0	3.26E-07	0	1.81E-07
Bacteria |Firmicutes |Erysipelotrichia |Erysipelotrichales |Erysipelotrichaceae |Erysipelatoclostridium |[Clostridium] spiroforme 	0.000159786	0.000394868	0.000162376	0	0	0	0	0	0	0	0	0	0.000398473	6.33E-05	1.86E-05	8.70E-07	0	6.34E-07
Bacteria |Firmicutes |Erysipelotrichia |Erysipelotrichales |Erysipelotrichaceae |Erysipelatoclostridium |Erysipelatoclostridium ramosum 	3.25E-06	1.04E-05	4.90E-06	0	0	0	1.49E-05	4.93E-06	5.94E-06	4.46E-07	0	2.48E-07	4.28E-05	1.31E-05	0.000189436	1.86E-05	0	7.43E-05
Bacteria |Firmicutes |Erysipelotrichia |Erysipelotrichales |Erysipelotrichaceae |Erysipelatoclostridium |Unknown	1.38E-05	3.96E-05	2.02E-05	0	0	0	1.19E-06	1.14E-06	6.25E-07	4.46E-07	2.68E-07	3.72E-07	5.23E-05	1.07E-05	6.19E-06	0	0	2.26E-07
Bacteria |Firmicutes |Erysipelotrichia |Erysipelotrichales |Erysipelotrichaceae |Holdemania |Holdemania sp. Marseille-P2844 	0	0	0	0	0	0	0	0	0	0	0	0	0.000380553	0.00019852	3.35E-07	0	2.70E-06	1.26E-05
