Condition	Remission-Responder	Remission-Responder	Remission-Responder	Relapse-non-responder	Relapse-non-responder	Relapse-non-responder	Baseline-Active	Baseline-Active	Baseline-Active	Baseline-Active	Baseline-Active	Baseline-Active	Relapse-non-responder	Relapse-non-responder	Relapse-non-responder	Remission-Responder	Remission-Responder	Remission-Responder				
Taxonomy	M1_S1	M2_S2	M3_S3	N4_S4	N5_S5	N6_S6	O1_S7	O2_S8	O3_S9	V1_S10	V4_S12	V6_S11	X1_S13	X2_S14	X4_S15	Z2_S16	Z3_S17	Z4_S18				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides caccae 	2.63E-05	2.37E-05	3.38E-05	1.38E-05	1.76E-06	0	0.002052518	0.001403933	0.002239072	0.000199921	0.000487659	0.000299965	2.23E-05	3.84E-05	3.70E-05	0.00010825	6.38E-06	3.19E-05				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides caecimuris 	0	0	0	0	0	0	0	0	2.95E-07	0	0	0	0	0	0	8.03E-07	3.75E-07	0				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides clarus 	0	0	0	0	0	0	0	0	0	2.16E-06	3.25E-06	1.92E-07	0	1.34E-06	0	0.001053343	0.000490435	0.000886327				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides clarus CAG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.92E-08	0	0				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides coprocola 	0	0	0	0	0	0	0	0	0	0	0	0	2.36E-06	2.92E-06	3.03E-06	1.64E-05	1.48E-05	1.26E-05				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides coprophilus 	2.90E-07	3.67E-06	4.58E-06	0	0	0	0	0	0	6.48E-06	4.08E-05	1.84E-05	1.76E-05	2.15E-05	0	5.35E-07	1.25E-07	0				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides dorei 	1.51E-05	1.88E-05	4.79E-05	5.94E-06	2.52E-06	0	0	0	9.45E-06	7.68E-05	0.000115018	0.000109619	1.70E-05	3.58E-05	4.09E-05	9.10E-05	6.91E-05	0.000174621				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides eggerthii 	0	0	0	0	0	0	0	0	0.000327903	0	4.06E-07	1.06E-06	0	0	0	0.000208743	9.04E-05	0.000288393				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides eggerthii CAG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.75E-06	0				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides faecichinchillae 	0	1.94E-06	0	0	0	0	5.65E-07	0	4.13E-06	5.58E-05	0.000658462	0.000248323	0.002066465	0.000532663	4.78E-07	1.52E-06	0	0				
