Condition	Remission-Responder	Remission-Responder	Remission-Responder	Relapse-non-responder	Relapse-non-responder	Relapse-non-responder	Baseline-Active	Baseline-Active	Baseline-Active	Baseline-Active	Baseline-Active	Baseline-Active	Relapse-non-responder	Relapse-non-responder	Relapse-non-responder	Remission-Responder	Remission-Responder	Remission-Responder				
Taxonomy	M1_S1	M2_S2	M3_S3	N4_S4	N5_S5	N6_S6	O1_S7	O2_S8	O3_S9	V1_S10	V4_S12	V6_S11	X1_S13	X2_S14	X4_S15	Z2_S16	Z3_S17	Z4_S18				
Viruses |Unknown|unified Microviridae no rank|Unknown|Microviridae |Unknown|Microviridae sp. 	5.44E-05	2.14E-05	6.70E-06	0	0	0	0	0	5.91E-07	2.75E-05	5.68E-06	0.000100308	0	0	0	8.92E-08	1.25E-07	6.19E-07				
Viruses |Unknown|unified Murine leukemia virus no rank|Ortervirales |Retroviridae |Gammaretrovirus |Murine leukemia virus 	2.32E-06	8.63E-06	3.00E-06	8.10E-06	1.11E-05	9.17E-07	1.47E-05	5.24E-06	9.30E-06	1.98E-06	8.11E-07	6.72E-07	2.36E-06	1.58E-06	4.46E-06	2.68E-07	1.50E-06	3.60E-06				
Viruses |Unknown|unified Retroviridae no rank|Ortervirales |Retroviridae |Intracisternal A-particles |Golden hamster intracisternal A-particle H18 	0	0	0	0	0	0	0	0	0	3.60E-07	4.06E-07	0	0	0	0	8.92E-08	0	2.71E-07				
Viruses |Unknown|unified Retroviridae no rank|Ortervirales |Retroviridae |Intracisternal A-particles |Mouse Intracisternal A-particle 	6.80E-06	1.53E-05	7.40E-06	4.48E-05	5.04E-05	6.42E-06	0.00014092	5.53E-05	2.79E-05	5.20E-05	8.93E-06	3.94E-06	3.89E-06	1.34E-06	9.24E-06	1.52E-06	1.00E-06	1.08E-05				
Viruses |Unknown|unified Siphoviridae no rank|Caudovirales |Siphoviridae |Unknown|Faecalibacterium phage FP_Brigit 	1.45E-07	0	5.29E-07	0	0	0	0	0	0	0	0	0	0	0	0	8.92E-08	1.25E-07	3.87E-08				
Viruses |Unknown|Unknown|Ortervirales |Retroviridae |Betaretrovirus |Mouse mammary tumor virus 	0	0	0	0	0	0	4.52E-06	1.81E-06	1.03E-06	8.46E-06	1.62E-06	3.84E-07	0	0	0	0	1.25E-07	5.03E-07				
Viruses |Unknown|Unknown|Ortervirales |Retroviridae |Betaretrovirus |Unknown	2.90E-07	1.08E-06	1.06E-06	5.94E-06	5.79E-06	6.11E-07	4.80E-06	2.71E-06	2.95E-06	7.20E-07	0	0	3.54E-07	0	3.19E-07	1.78E-07	6.26E-07	2.71E-06				
Viruses |Unknown|Unknown|Ortervirales |Retroviridae |Gammaretrovirus |Feline leukemia virus 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.09E-07				
Viruses |Unknown|Unknown|Unknown|Unknown|Unknown|uncultured marine virus 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.78E-07	0	0				
Viruses |Unknown|Unknown|Unknown|Unknown|Unknown|Unknown	0	0	0	0	0	0	0	0	0	0	0	0	3.54E-07	0	0	0	1.25E-07	1.55E-07				
Bacteria |Firmicutes |Clostridia |Clostridiales |Clostridiaceae |Clostridium |Clostridium sp. Marseille-P299 	0	0	0	0	0	0	0	0	0	0	0	0	2.95E-06	1.70E-06	6.21E-06	0	2.50E-07	1.55E-07				
Bacteria |Proteobacteria |Betaproteobacteria |Burkholderiales |Burkholderiaceae |Burkholderia |Unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.92E-08	0	2.32E-07				
Bacteria |Proteobacteria |Deltaproteobacteria |Desulfovibrionales |Desulfovibrionaceae |Desulfovibrio |Desulfovibrio bastinii 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.43E-06	1.50E-06	2.74E-06				
Eukaryota |Chordata |Sarcopterygii super|Euarchontoglires super|Cercopithecoidea super|Rhinopithecus |Rhinopithecus bieti 	0	0	0	5.40E-07	0	0	0	0	0	0	0	0	0	0	0	0	1.25E-07	1.16E-07				
Eukaryota |Chordata |Sarcopterygii super|Euarchontoglires super|Hominoidea super|Nomascus |Nomascus leucogenys 	0	0	0	0	0	0	2.82E-07	0	5.91E-07	3.60E-07	2.03E-07	0	0	0	0	0	1.25E-07	3.87E-08				
Archaea |Euryarchaeota |Halobacteria |Halobacteriales |Unknown|Unknown|Halobacteriales archaeon QS_4_70_19 	5.79E-07	2.16E-07	5.29E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Archaea |Euryarchaeota |Halobacteria |Haloferacales |Halorubraceae |Halorubrum |Halorubrum sp. AJ67 	0	2.16E-07	2.82E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Actinobacteria |Actinobacteria |Actinomycetales |Actinomycetaceae |Actinomyces |Actinomyces europaeus 	7.24E-07	1.29E-06	5.29E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Actinobacteria |Actinobacteria |Actinomycetales |Actinomycetaceae |Varibaculum |Varibaculum sp. Marseille-P2802 	0	2.16E-07	3.52E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Actinobacteria |Actinobacteria |Bifidobacteriales |Bifidobacteriaceae |Alloscardovia |Alloscardovia macacae 	0	2.16E-07	1.76E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Actinobacteria |Actinobacteria |Bifidobacteriales |Bifidobacteriaceae |Bifidobacterium |Bifidobacterium adolescentis 	2.90E-07	1.29E-06	1.76E-07	0	0	0	0.000116633	8.82E-05	0.000201968	0	0	0	2.36E-07	0	0	0	0	0				
Bacteria |Actinobacteria |Actinobacteria |Bifidobacteriales |Bifidobacteriaceae |Bifidobacterium |Bifidobacterium aesculapii 	2.90E-07	2.16E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Actinobacteria |Actinobacteria |Bifidobacteriales |Bifidobacteriaceae |Bifidobacterium |Bifidobacterium bifidum 	1.45E-07	2.16E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Actinobacteria |Actinobacteria |Bifidobacteriales |Bifidobacteriaceae |Bifidobacterium |Bifidobacterium dentium 	1.16E-06	1.94E-06	7.05E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Actinobacteria |Actinobacteria |Bifidobacteriales |Bifidobacteriaceae |Bifidobacterium |Bifidobacterium gallinarum 	3.76E-06	7.33E-06	2.47E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Actinobacteria |Actinobacteria |Bifidobacteriales |Bifidobacteriaceae |Bifidobacterium |Bifidobacterium pseudocatenulatum 	5.79E-07	2.59E-06	5.29E-07	0	0	0	8.47E-07	2.17E-06	1.62E-06	0	0	0	0	0	0	0	0	0				
Bacteria |Actinobacteria |Actinobacteria |Bifidobacteriales |Bifidobacteriaceae |Bifidobacterium |Bifidobacterium pullorum 	6.80E-06	1.23E-05	8.28E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Actinobacteria |Actinobacteria |Bifidobacteriales |Bifidobacteriaceae |Bifidobacterium |Bifidobacterium saeculare 	1.01E-05	1.19E-05	4.58E-06	0	0	0	0	0	0	0	0	0	0	3.65E-07	0	0	0	0				
Bacteria |Actinobacteria |Actinobacteria |Bifidobacteriales |Bifidobacteriaceae |Bifidobacterium |Bifidobacterium scaligerum 	2.90E-07	1.08E-06	7.05E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Actinobacteria |Actinobacteria |Bifidobacteriales |Bifidobacteriaceae |Bifidobacterium |Bifidobacterium scardovii 	2.90E-07	1.29E-06	8.81E-07	0.000392254	0.000112057	1.53E-07	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Actinobacteria |Actinobacteria |Bifidobacteriales |Bifidobacteriaceae |Bifidobacterium |Bifidobacterium subtile 	1.45E-07	6.47E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Actinobacteria |Actinobacteria |Corynebacteriales |Nocardiaceae |Nocardia |Nocardia sp. NRRL S-836 	8.69E-07	2.16E-07	7.05E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Actinobacteria |Actinobacteria |Micrococcales |Jonesiaceae |Jonesia |Jonesia quinghaiensis 	2.90E-07	4.31E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Actinobacteria |Actinobacteria |Micrococcales |Micrococcaceae |Micrococcus |Unknown	0	6.47E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Actinobacteria |Actinobacteria |Micrococcales |Micrococcaceae |Rothia |Rothia sp. T40-1 	1.45E-07	0	5.29E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Actinobacteria |Actinobacteria |Micrococcales |Unknown|Unknown|Unknown	0	0	1.76E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Actinobacteria |Actinobacteria |Propionibacteriales |Nocardioidaceae |Nocardioides |Nocardioides sp. YR527 	2.90E-07	8.63E-07	1.76E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Actinobacteria |Actinobacteria |Streptomycetales |Streptomycetaceae |Streptomyces |Streptomyces canus 	1.45E-07	1.29E-06	3.52E-07	0	0	0	0	0	0	0	0	0	3.54E-07	0	0	0	0	0				
Bacteria |Actinobacteria |Actinobacteria |Streptomycetales |Streptomycetaceae |Unknown|Unknown	8.69E-07	2.16E-06	1.94E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Actinobacteria |Coriobacteriia |Coriobacteriales |Atopobiaceae |Olsenella |Olsenella mediterranea 	0	0	3.52E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Actinobacteria |Coriobacteriia |Coriobacteriales |Atopobiaceae |Olsenella |Olsenella provencensis 	0	0	3.52E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Actinobacteria |Coriobacteriia |Coriobacteriales |Atopobiaceae |Olsenella |Olsenella sp. An285 	1.45E-07	0	1.76E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Actinobacteria |Coriobacteriia |Coriobacteriales |Atopobiaceae |Olsenella |Olsenella sp. An293 	0	0	3.52E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Actinobacteria |Coriobacteriia |Coriobacteriales |Atopobiaceae |Olsenella |Olsenella sp. Marseille-P2300 	1.45E-07	2.16E-07	1.23E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Actinobacteria |Coriobacteriia |Coriobacteriales |Atopobiaceae |Olsenella |Unknown	2.90E-07	0	1.23E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Actinobacteria |Coriobacteriia |Coriobacteriales |Coriobacteriaceae |Collinsella |Collinsella aerofaciens 	1.01E-06	8.63E-07	1.41E-06	0	0	0	8.47E-07	9.03E-07	3.99E-06	7.74E-06	2.84E-06	1.17E-05	7.32E-06	1.34E-06	1.91E-06	0	0	0				
Bacteria |Actinobacteria |Coriobacteriia |Coriobacteriales |Coriobacteriaceae |Collinsella |Collinsella bouchesdurhonensis 	1.45E-07	0	3.52E-07	0	0	0	0	0	0	0	0	0	8.26E-07	0	0	0	0	0				
Bacteria |Actinobacteria |Coriobacteriia |Coriobacteriales |Coriobacteriaceae |Collinsella |Collinsella sp. AF31-11 	4.34E-07	4.31E-07	1.23E-06	0	0	0	0	0	5.91E-07	0	0	0	8.26E-07	0	3.19E-07	0	0	0				
Bacteria |Actinobacteria |Coriobacteriia |Coriobacteriales |Coriobacteriaceae |Collinsella |Collinsella sp. AM42-18AC 	0	0	5.29E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Actinobacteria |Coriobacteriia |Coriobacteriales |Coriobacteriaceae |Collinsella |Collinsella sp. An2 	1.45E-07	8.63E-07	0	0	0	0	0	0	0	1.80E-07	2.03E-07	9.60E-08	0	1.34E-06	0	0	0	0				
Bacteria |Actinobacteria |Coriobacteriia |Coriobacteriales |Coriobacteriaceae |Collinsella |Collinsella sp. An7 	1.45E-07	0	5.29E-07	0	0	0	0	0	0	0	0	0	2.36E-07	0	1.59E-07	0	0	0				
Bacteria |Actinobacteria |Coriobacteriia |Coriobacteriales |Coriobacteriaceae |Collinsella |Collinsella sp. CAG	1.45E-07	4.31E-07	3.52E-07	0	0	0	5.65E-07	9.03E-07	1.48E-07	7.20E-07	4.06E-07	2.98E-06	7.08E-07	3.65E-07	0	0	0	0				
Bacteria |Actinobacteria |Coriobacteriia |Coriobacteriales |Coriobacteriaceae |Collinsella |Collinsella sp. TF05-9AC 	1.45E-07	2.16E-07	3.52E-07	0	0	0	0	0	0	3.24E-06	6.09E-07	3.84E-06	8.26E-07	0	1.59E-06	0	0	0				
Bacteria |Actinobacteria |Coriobacteriia |Coriobacteriales |Coriobacteriaceae |Collinsella |Unknown	5.72E-05	4.31E-05	0.00011929	0	0	0	4.83E-05	5.98E-05	0.00016063	0.000803824	0.000234498	0.001002122	0.000159104	2.76E-05	5.00E-05	0	0	0				
Bacteria |Actinobacteria |Coriobacteriia |Coriobacteriales |Coriobacteriaceae |Coriobacterium |Coriobacterium glomerans* 	1.45E-07	0	1.76E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Actinobacteria |Coriobacteriia |Coriobacteriales |Coriobacteriaceae |Enorma |Enorma massiliensis 	1.45E-07	0	3.52E-07	0	0	0	0	0	0	0	0	0	2.36E-07	0	0	0	0	0				
Bacteria |Actinobacteria |Coriobacteriia |Coriobacteriales |Coriobacteriaceae |Enorma |Unknown	4.34E-07	1.29E-06	5.29E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Actinobacteria |Coriobacteriia |Coriobacteriales |Coriobacteriaceae |Unknown|Coriobacteriaceae bacterium 	4.34E-07	4.31E-07	7.05E-07	0	0	0	0	0	5.91E-07	0	0	0	0	0	0	0	0	0				
Bacteria |Actinobacteria |Coriobacteriia |Coriobacteriales |Coriobacteriaceae |Unknown|Coriobacteriaceae bacterium CHKCI002 	2.90E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Actinobacteria |Coriobacteriia |Coriobacteriales |Coriobacteriaceae |Unknown|Unknown	3.76E-06	3.02E-06	5.46E-06	0	0	0	5.37E-06	3.43E-06	5.61E-06	2.52E-05	5.48E-06	2.88E-05	6.73E-06	1.46E-06	2.71E-06	0	0	0				
Bacteria |Actinobacteria |Coriobacteriia |Coriobacteriales |Unknown|Unknown|Unknown	4.05E-06	3.67E-06	8.63E-06	0	0	0	2.82E-06	3.25E-06	8.71E-06	2.21E-05	8.72E-06	2.87E-05	1.04E-05	1.58E-06	1.27E-06	0	0	0				
Bacteria |Actinobacteria |Coriobacteriia |Eggerthellales |Eggerthellaceae |Adlercreutzia |Adlercreutzia equolifaciens* 	4.34E-07	0	1.23E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Actinobacteria |Coriobacteriia |Eggerthellales |Eggerthellaceae |Arabia |Arabia massiliensis* 	1.45E-07	1.51E-06	1.76E-07	0	0	0	0	3.61E-07	1.48E-07	0	0	0	1.18E-07	1.22E-07	0	0	0	0				
Bacteria |Actinobacteria |Coriobacteriia |Eggerthellales |Eggerthellaceae |Eggerthella |Eggerthella sp. CAG	1.59E-06	1.08E-06	2.82E-06	0	0	0	0	0	4.43E-07	0	0	0	0	0	0	0	0	0				
Bacteria |Actinobacteria |Coriobacteriia |Eggerthellales |Eggerthellaceae |Enterorhabdus |Enterorhabdus caecimuris 	1.45E-07	6.47E-07	5.29E-07	0	0	0	0	0	0	0	0	0	2.36E-07	1.22E-07	0	0	0	0				
Bacteria |Actinobacteria |Coriobacteriia |Eggerthellales |Eggerthellaceae |Enterorhabdus |Enterorhabdus mucosicola 	0	0	5.29E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Actinobacteria |Coriobacteriia |Eggerthellales |Eggerthellaceae |Gordonibacter |Gordonibacter urolithinfaciens 	1.45E-07	2.16E-07	3.52E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Actinobacteria |Coriobacteriia |Eggerthellales |Eggerthellaceae |Gordonibacter |Unknown	8.69E-07	4.31E-07	3.35E-06	0	0	0	0	0	0	0	0	0	1.30E-06	4.86E-07	0	0	0	0				
Bacteria |Actinobacteria |Coriobacteriia |Eggerthellales |Eggerthellaceae |Paraeggerthella |Paraeggerthella hongkongensis* 	0	2.16E-07	1.76E-07	0	0	0	0	0	0	3.60E-07	4.06E-07	7.68E-07	0	0	0	0	0	0				
Bacteria |Actinobacteria |Coriobacteriia |Eggerthellales |Eggerthellaceae |Slackia |Unknown	1.45E-07	6.47E-07	3.52E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Actinobacteria |Coriobacteriia |Eggerthellales |Unknown|Unknown|Unknown	1.45E-07	4.31E-07	7.05E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides cellulosilyticus 	0	6.47E-07	0	0	0	0	0	0	7.28E-05	0	0	0	0	0	0	0	0	0				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides ihuae 	0	6.47E-07	0	0	0	0	0	0	1.48E-07	0	0	0	0	0	0	0	0	0				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides ndongoniae 	0	4.31E-07	0	0	0	0	0	0	1.48E-06	0	0	0	0	0	0	0	0	0				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides oleiciplenus 	0	0	5.29E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides pectinophilus CAG	2.90E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides plebeius 	0	1.08E-06	1.41E-06	0	0	0	0	0	4.43E-07	5.40E-06	0	7.78E-06	0	0	0	0	0	0				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides sp. 3_1_33FAA 	0	6.47E-07	0	0	0	0	0	0	0	0	0	3.84E-07	1.95E-05	1.96E-05	1.59E-07	0	0	0				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides sp. 4_1_36 	4.05E-06	2.59E-06	4.58E-06	0	0	0	0	0	0	9.18E-06	2.03E-07	5.95E-06	0	0	0	1.25E-06	2.50E-07	1.78E-06				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides sp. 43_108 	3.04E-06	3.88E-06	3.70E-06	0	0	0	5.08E-06	5.24E-06	1.18E-06	0	0	0	0	0	0	1.78E-07	0	0				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides sp. AF25-38AC 	0	8.63E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides sp. AM25-34 	0	1.08E-06	0	0	0	0	0.000432644	0.00036995	2.51E-06	0	0	0	5.31E-06	8.39E-06	1.11E-05	0	0	0				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides sp. AM41-16 	0	1.94E-06	7.05E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides sp. D20 	0	8.84E-06	0	0	0	0	0	0	5.61E-06	0.000163932	0.00028298	0.000245155	0	0	0	0	0	0				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides sp. OM05-10AA 	3.62E-06	6.47E-07	1.06E-06	0	0	0	0	0	0	0	0	0	1.06E-06	1.70E-06	0	0	0	0				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides sp. OM08-17BH 	4.34E-07	0	3.17E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides sp. SM23_62_1 	0	2.16E-07	1.76E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides stercorirosoris 	0	2.16E-07	1.23E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Dysgonamonadaceae |Dysgonomonas |Dysgonomonas gadei 	1.45E-07	4.31E-07	1.06E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Muribaculaceae |Unknown|Unknown	2.90E-07	0	0	0	0	0	0.000416265	0.000396143	1.77E-06	0	0	5.76E-07	0	0	0	0	0	0				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Odoribacteraceae |Butyricimonas |Butyricimonas synergistica 	0	0	5.29E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Odoribacteraceae |Odoribacter |Unknown	0.002945227	0.002639869	0.00451593	0	0	0	0.003927403	0.004071622	0.002251178	3.60E-07	0	4.80E-07	0	0	0	1.78E-07	0	3.87E-08				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Porphyromonadaceae |Porphyromonas |Porphyromonas asaccharolytica 	1.45E-07	6.47E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Porphyromonadaceae |Sanguibacteroides |Sanguibacteroides justesenii* 	1.45E-07	4.31E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Porphyromonadaceae |Unknown|Porphyromonadaceae bacterium KH3CP3RA 	0	0	7.05E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Prevotellaceae |Prevotella |Prevotella sp. ne3005 	1.45E-07	2.16E-07	1.76E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Prevotellaceae |Prevotella |Prevotella sp. P2-180 	0	1.51E-06	0	0	0	0	0	0	7.38E-07	0	0	0	0	0	0	0	0	0				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Prevotellaceae |Prevotella |Prevotella sp. P4-76 	0	4.31E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Prevotellaceae |Unknown|Prevotellaceae bacterium 	5.79E-07	3.88E-06	2.04E-05	0	0	0	0	0	0	2.00E-05	2.84E-06	6.05E-06	0	0	0	0	0	0				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Rikenellaceae |Alistipes |Alistipes finegoldii CAG	0	2.16E-07	1.59E-06	0	0	0	0	9.03E-07	1.48E-07	0	0	0	0	0	0	0	0	0				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Rikenellaceae |Alistipes |Alistipes ihumii 	5.50E-06	3.65E-05	4.67E-05	0	0	0	0	0	0	0	1.40E-05	5.47E-06	0	3.65E-07	0	0	0	0				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Rikenellaceae |Alistipes |Alistipes inops 	4.34E-07	3.67E-06	4.93E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Rikenellaceae |Alistipes |Alistipes obesi 	4.05E-06	4.31E-06	2.11E-05	0	0	0	0	0	0	3.60E-07	0	0	1.42E-06	1.12E-05	0	0	0	0				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Rikenellaceae |Alistipes |Alistipes putredinis 	8.69E-07	2.80E-06	7.05E-06	0	0	0	0.000178762	0.000191478	5.62E-05	6.84E-06	1.62E-06	2.69E-06	3.42E-06	2.41E-05	0	0	0	0				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Rikenellaceae |Alistipes |Alistipes shahii 	0	0	3.52E-07	0	0	0	5.93E-06	7.59E-06	2.81E-06	4.14E-06	0	0	6.14E-06	4.63E-05	0	0	0	0				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Rikenellaceae |Alistipes |Alistipes sp. 56_11 	5.79E-07	8.84E-06	7.58E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Rikenellaceae |Alistipes |Alistipes sp. 58_9_plus 	0	0	5.29E-07	0	0	0	0	0	0	7.20E-07	0	0	0	0	0	0	0	0				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Rikenellaceae |Alistipes |Alistipes sp. AF14-19 	1.45E-07	4.31E-07	1.23E-06	0	0	0	0	0	0	3.42E-06	0	9.60E-08	3.54E-06	2.33E-05	0	0	0	0				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Rikenellaceae |Alistipes |Alistipes sp. An116 	7.24E-07	2.59E-06	3.00E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Rikenellaceae |Alistipes |Alistipes sp. An31A 	0	4.31E-07	5.29E-07	0	0	0	0	7.23E-07	0	0	0	0	0	0	0	0	0	0				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Rikenellaceae |Alistipes |Alistipes sp. An54 	1.45E-07	1.08E-06	1.30E-05	0	0	0	0	0	0	2.16E-06	0	3.07E-06	0	0	0	0	0	0				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Rikenellaceae |Alistipes |Alistipes sp. CHKCI003 	2.75E-06	1.29E-06	1.44E-05	0	0	0	1.41E-06	7.23E-07	0	3.60E-07	0	0	0	0	0	0	0	0				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Rikenellaceae |Alistipes |Alistipes sp. HGB5 	1.45E-07	0	8.81E-07	0	0	0	0	0	0	3.60E-07	0	0	0	7.30E-07	0	0	0	0				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Rikenellaceae |Alistipes |Alistipes sp. Marseille-P2431 	1.45E-07	0	3.70E-06	0	0	0	0	0	0	0	0	0	1.18E-07	2.43E-07	0	0	0	0				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Rikenellaceae |Alistipes |Alistipes timonensis 	2.90E-07	8.63E-07	2.29E-06	0	0	0	1.16E-05	1.16E-05	3.40E-06	2.70E-06	2.43E-06	2.40E-06	0	0	0	0	0	0				
